Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,22.0,ATL,NBA,SF,38.0,371.0,8.8,0.481,0.184,0.163,4.2,13.1,8.7,11.5,1.1,1.2,13.2,14.2,-0.1,0.4,0.3,0.038,-3.6,0.1,-3.5,-0.1
2017-18,23.0,ATL,NBA,SF,26.0,455.0,7.6,0.477,0.234,0.258,2.0,15.7,8.8,15.9,2.3,2.3,24.8,18.2,-0.9,0.5,-0.4,-0.04,-5.1,0.3,-4.7,-0.3
2018-19,24.0,ATL,NBA,SG,82.0,1931.0,10.8,0.508,0.281,0.221,2.9,16.9,9.7,14.7,2.5,1.8,17.4,17.2,-0.9,1.7,0.9,0.022,-3.3,0.8,-2.4,-0.2
2019-20,25.0,ATL,NBA,SG,43.0,915.0,9.6,0.5,0.285,0.211,4.0,14.1,8.9,12.3,2.8,1.7,19.4,14.0,-0.5,0.8,0.2,0.012,-3.5,1.1,-2.5,-0.1
2020-21,26.0,TOR,NBA,SF,51.0,972.0,11.2,0.57,0.232,0.289,3.6,13.3,8.3,15.6,2.6,1.9,21.6,14.6,0.1,1.1,1.2,0.059,-3.2,1.2,-2.1,0.0
2021-22,27.0,BRK,NBA,SF,15.0,243.0,11.1,0.609,0.235,0.216,3.2,11.2,7.3,9.4,2.8,1.4,15.2,12.1,0.2,0.4,0.6,0.12,-3.4,1.8,-1.6,0.0
Career,,,NBA,,255.0,4887.0,10.2,0.516,0.26,0.23,3.3,15.0,9.0,14.0,2.5,1.8,18.9,15.7,-2.0,4.9,2.8,0.028,-3.5,0.9,-2.6,-0.8
,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,ATL,NBA,,189.0,3672.0,9.9,0.5,0.267,0.218,3.2,15.7,9.3,13.9,2.4,1.8,18.4,16.2,-2.4,3.4,1.0,0.013,-3.6,0.8,-2.8,-0.8
1 season,,TOR,NBA,,51.0,972.0,11.2,0.57,0.232,0.289,3.6,13.3,8.3,15.6,2.6,1.9,21.6,14.6,0.1,1.1,1.2,0.059,-3.2,1.2,-2.1,0.0
1 season,,BRK,NBA,,15.0,243.0,11.1,0.609,0.235,0.216,3.2,11.2,7.3,9.4,2.8,1.4,15.2,12.1,0.2,0.4,0.6,0.12,-3.4,1.8,-1.6,0.0
