Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,22.0,ATL,NBA,SF,38.0,1.0,9.8,1.2,2.6,0.48,0.0,0.5,0.056,1.2,2.1,0.575,0.485,0.2,0.4,0.375,0.4,1.2,1.6,0.7,0.2,0.1,0.4,0.6,2.7
2017-18,23.0,ATL,NBA,SF,26.0,3.0,17.5,2.0,4.9,0.414,0.4,1.2,0.367,1.6,3.8,0.429,0.457,0.7,1.3,0.576,0.3,2.5,2.8,1.9,0.8,0.5,1.8,1.5,5.2
2018-19,24.0,ATL,NBA,SG,82.0,15.0,23.5,3.4,7.5,0.446,0.6,2.1,0.289,2.7,5.4,0.508,0.487,1.1,1.7,0.64,0.7,3.7,4.4,2.5,1.3,0.5,1.7,2.3,8.4
2019-20,25.0,ATL,NBA,SG,43.0,4.0,21.3,2.4,5.3,0.456,0.3,1.5,0.231,2.1,3.8,0.546,0.489,0.6,1.1,0.542,0.8,2.7,3.5,1.9,1.3,0.4,1.4,2.0,5.8
2020-21,26.0,TOR,NBA,SF,51.0,12.0,19.1,2.3,4.5,0.513,0.3,1.0,0.264,2.0,3.4,0.589,0.544,0.9,1.3,0.682,0.6,2.2,2.9,2.1,1.0,0.4,1.4,1.7,5.7
2021-22,27.0,BRK,NBA,SF,8.0,0.0,13.0,1.8,3.3,0.538,0.4,0.8,0.5,1.4,2.5,0.55,0.596,0.8,0.9,0.857,0.4,1.9,2.3,0.6,1.0,0.4,0.9,1.8,4.6
Career,,,NBA,,248.0,35.0,19.1,2.5,5.3,0.461,0.4,1.4,0.272,2.1,3.9,0.527,0.496,0.8,1.2,0.618,0.6,2.7,3.2,1.9,1.0,0.4,1.4,1.8,6.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,ATL,NBA,,189.0,23.0,19.4,2.5,5.7,0.448,0.4,1.5,0.269,2.1,4.1,0.513,0.484,0.7,1.2,0.592,0.6,2.8,3.4,1.9,1.0,0.4,1.4,1.8,6.2
1 season,,TOR,NBA,,51.0,12.0,19.1,2.3,4.5,0.513,0.3,1.0,0.264,2.0,3.4,0.589,0.544,0.9,1.3,0.682,0.6,2.2,2.9,2.1,1.0,0.4,1.4,1.7,5.7
1 season,,BRK,NBA,,8.0,0.0,13.0,1.8,3.3,0.538,0.4,0.8,0.5,1.4,2.5,0.55,0.596,0.8,0.9,0.857,0.4,1.9,2.3,0.6,1.0,0.4,0.9,1.8,4.6
