,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2009-10,20.0,TOR,NBA,SG,77.0,65.0,21.6,3.3,6.6,0.498,0.1,0.2,0.25,3.3,6.4,0.506,0.502,1.9,2.5,0.763,0.9,2.0,2.9,0.7,0.6,0.2,0.8,2.3,8.6
1,2010-11,21.0,TOR,NBA,SG,82.0,82.0,34.8,6.6,14.1,0.467,0.1,0.6,0.096,6.5,13.4,0.485,0.469,4.0,4.9,0.813,0.9,2.9,3.8,1.8,1.0,0.4,1.8,2.6,17.2
2,2011-12,22.0,TOR,NBA,SG,63.0,63.0,35.0,6.0,14.3,0.422,0.4,1.5,0.261,5.7,12.9,0.44,0.435,4.3,5.3,0.81,0.6,2.7,3.3,2.0,0.8,0.3,2.0,2.6,16.7
3,2012-13,23.0,TOR,NBA,SG,82.0,82.0,36.7,6.7,15.0,0.445,0.4,1.5,0.283,6.3,13.5,0.463,0.459,4.3,5.2,0.831,0.6,3.3,3.9,2.5,0.9,0.3,1.8,2.1,18.1
4,2013-14,24.0,TOR,NBA,SG,79.0,79.0,38.2,7.6,17.8,0.429,0.8,2.7,0.305,6.8,15.2,0.451,0.452,6.6,8.0,0.824,0.6,3.7,4.3,4.0,1.1,0.4,2.2,2.5,22.7
5,2014-15,25.0,TOR,NBA,SG,60.0,60.0,35.0,6.8,16.5,0.413,0.4,1.5,0.284,6.4,15.0,0.426,0.426,6.0,7.2,0.832,0.7,3.9,4.6,3.5,1.2,0.2,2.3,2.0,20.1
6,2015-16,26.0,TOR,NBA,SG,78.0,78.0,35.9,7.9,17.7,0.446,0.6,1.8,0.338,7.3,15.9,0.458,0.463,7.1,8.4,0.85,0.8,3.7,4.5,4.0,1.0,0.3,2.2,2.1,23.5
7,2016-17,27.0,TOR,NBA,SG,74.0,74.0,35.4,9.7,20.9,0.467,0.4,1.7,0.266,9.3,19.2,0.484,0.477,7.4,8.7,0.842,0.9,4.3,5.2,3.9,1.1,0.2,2.4,1.8,27.3
8,2017-18,28.0,TOR,NBA,SG,80.0,80.0,33.9,8.1,17.7,0.456,1.1,3.6,0.31,7.0,14.1,0.494,0.488,5.8,7.0,0.825,0.7,3.2,3.9,5.2,1.1,0.3,2.2,1.9,23.0
9,2018-19,29.0,SAS,NBA,SG,77.0,77.0,34.9,8.2,17.1,0.481,0.1,0.6,0.156,8.1,16.5,0.492,0.483,4.8,5.7,0.83,0.7,5.3,6.0,6.2,1.1,0.5,2.6,2.3,21.2
10,2019-20,30.0,SAS,NBA,SF,68.0,68.0,34.1,8.2,15.4,0.531,0.1,0.5,0.257,8.1,14.9,0.54,0.535,5.6,6.6,0.845,0.6,4.9,5.5,5.6,1.0,0.3,2.4,2.6,22.1
11,2020-21,31.0,SAS,NBA,PF,61.0,61.0,33.7,7.5,15.1,0.495,0.3,1.2,0.257,7.1,13.9,0.515,0.505,6.3,7.2,0.88,0.7,3.6,4.2,6.9,0.9,0.2,2.0,2.1,21.6
12,2021-22,32.0,CHI,NBA,PF,4.0,4.0,34.8,7.8,18.5,0.419,0.8,2.0,0.375,7.0,16.5,0.424,0.439,6.3,7.5,0.833,0.8,5.0,5.8,4.5,0.8,0.5,1.5,2.0,22.5
13,Career,,,NBA,,885.0,873.0,34.1,7.2,15.7,0.46,0.4,1.5,0.281,6.8,14.2,0.478,0.473,5.3,6.4,0.833,0.7,3.6,4.4,3.8,1.0,0.3,2.0,2.3,20.2
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,9 seasons,,TOR,NBA,,675.0,663.0,34.1,7.0,15.6,0.448,0.5,1.7,0.288,6.5,13.9,0.467,0.463,5.2,6.3,0.827,0.8,3.3,4.1,3.1,1.0,0.3,2.0,2.2,19.7
16,3 seasons,,SAS,NBA,,206.0,206.0,34.3,8.0,15.9,0.501,0.2,0.7,0.227,7.8,15.2,0.514,0.506,5.5,6.5,0.851,0.7,4.7,5.3,6.2,1.0,0.3,2.3,2.4,21.6
17,1 season,,CHI,NBA,,4.0,4.0,34.8,7.8,18.5,0.419,0.8,2.0,0.375,7.0,16.5,0.424,0.439,6.3,7.5,0.833,0.8,5.0,5.8,4.5,0.8,0.5,1.5,2.0,22.5
