Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2013-14,20.0,ATL,NBA,PG,49.0,641.0,5.8,0.442,0.223,0.229,0.9,9.9,5.4,22.0,1.3,0.0,22.8,19.0,-1.1,0.4,-0.7,-0.054,-5.7,-1.6,-7.3,-0.9
2014-15,21.0,ATL,NBA,PG,77.0,1516.0,15.7,0.516,0.223,0.269,2.3,9.9,6.2,34.6,1.7,0.2,16.8,27.0,1.1,1.4,2.5,0.08,-0.1,-1.2,-1.3,0.2
2015-16,22.0,ATL,NBA,PG,80.0,1621.0,15.5,0.51,0.306,0.233,1.7,11.8,6.9,36.1,2.1,0.4,17.5,28.8,-0.2,2.3,2.2,0.064,-0.3,-0.4,-0.8,0.5
2016-17,23.0,ATL,NBA,PG,79.0,2485.0,16.1,0.533,0.242,0.21,1.9,9.0,5.5,35.5,1.5,0.6,16.3,27.8,1.2,2.5,3.7,0.071,1.1,-1.0,0.0,1.3
2017-18,24.0,ATL,NBA,PG,67.0,2078.0,17.3,0.515,0.229,0.231,2.4,8.8,5.6,36.2,1.7,0.2,12.7,30.4,1.5,1.0,2.6,0.059,1.2,-1.9,-0.6,0.7
2018-19,25.0,OKC,NBA,PG,79.0,2314.0,12.7,0.508,0.33,0.206,1.6,11.3,6.3,20.4,1.3,0.4,12.5,24.2,0.4,2.4,2.9,0.06,-1.3,-0.7,-2.0,0.0
2019-20,26.0,OKC,NBA,PG,65.0,1999.0,16.7,0.575,0.337,0.245,1.1,11.6,6.5,21.9,1.1,0.6,13.4,27.2,1.9,1.8,3.6,0.087,1.1,-1.1,0.0,1.0
2020-21,27.0,LAL,NBA,SG,61.0,1956.0,13.8,0.543,0.279,0.32,1.7,10.3,6.1,26.9,1.7,0.6,15.8,22.9,1.0,2.7,3.8,0.093,-1.1,0.0,-1.1,0.4
2021-22,28.0,BOS,NBA,SG,9.0,278.0,15.4,0.503,0.388,0.359,3.7,9.6,6.6,30.3,2.3,0.3,13.7,21.7,0.3,0.2,0.6,0.1,-0.4,-0.9,-1.3,0.1
Career,,,NBA,,566.0,14888.0,15.0,0.526,0.278,0.241,1.8,10.3,6.1,29.6,1.6,0.4,15.0,26.4,6.2,14.9,21.1,0.068,-0.1,-0.9,-1.1,3.4
,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,ATL,NBA,,352.0,8341.0,15.4,0.516,0.247,0.231,2.0,9.7,5.9,34.6,1.7,0.4,15.9,27.8,2.5,7.7,10.2,0.059,0.1,-1.2,-1.1,1.9
2 seasons,,OKC,NBA,,144.0,4313.0,14.6,0.54,0.333,0.224,1.4,11.5,6.4,21.1,1.2,0.5,12.9,25.6,2.3,4.2,6.5,0.072,-0.2,-0.9,-1.1,1.0
1 season,,LAL,NBA,,61.0,1956.0,13.8,0.543,0.279,0.32,1.7,10.3,6.1,26.9,1.7,0.6,15.8,22.9,1.0,2.7,3.8,0.093,-1.1,0.0,-1.1,0.4
1 season,,BOS,NBA,,9.0,278.0,15.4,0.503,0.388,0.359,3.7,9.6,6.6,30.3,2.3,0.3,13.7,21.7,0.3,0.2,0.6,0.1,-0.4,-0.9,-1.3,0.1
