Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2013-14,24.0,TOT,NBA,C,31.0,390.0,10.7,0.5,0.0,0.386,10.7,25.8,18.1,1.9,0.9,4.5,15.6,13.1,0.1,0.5,0.6,0.07,-4.5,-0.3,-4.7,-0.3
2013-14,24.0,GSW,NBA,C,4.0,6.0,-5.1,0.266,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.0,0.0,-0.107,-10.3,-3.2,-13.6,0.0
2013-14,24.0,PHI,NBA,C,11.0,150.0,8.7,0.533,0.0,0.448,7.6,28.5,17.6,2.9,0.0,4.8,20.6,12.3,0.0,0.1,0.1,0.035,-5.8,0.0,-5.8,-0.1
2013-14,24.0,ORL,NBA,C,16.0,234.0,12.5,0.488,0.0,0.321,13.0,24.8,18.9,1.3,1.5,4.4,13.0,13.5,0.1,0.4,0.5,0.096,-3.5,-0.4,-3.8,-0.1
2014-15,25.0,ORL,NBA,C,59.0,845.0,13.3,0.568,0.006,0.395,15.5,24.1,19.7,1.6,1.0,4.8,21.1,13.0,0.7,1.0,1.7,0.099,-3.3,-0.2,-3.5,-0.3
2015-16,26.0,ORL,NBA,C,58.0,705.0,17.0,0.606,0.0,0.429,10.4,25.7,17.9,2.7,1.6,5.4,13.2,15.2,1.2,1.1,2.4,0.162,-1.6,0.7,-0.9,0.2
2016-17,27.0,SAS,NBA,C,76.0,1330.0,16.0,0.645,0.0,0.359,11.2,30.6,21.1,4.8,1.4,3.7,16.9,12.3,2.3,3.0,5.2,0.189,-1.4,2.0,0.6,0.9
2017-18,28.0,ATL,NBA,C,62.0,1542.0,15.8,0.599,0.296,0.18,7.2,28.1,17.7,9.2,1.3,2.8,14.3,17.0,1.8,1.9,3.7,0.114,-0.4,0.5,0.1,0.8
2018-19,29.0,ATL,NBA,C,64.0,1609.0,16.0,0.602,0.413,0.215,6.7,25.0,15.7,8.1,2.0,3.8,12.7,16.7,2.1,1.9,4.0,0.119,-0.3,0.8,0.5,1.0
2019-20,30.0,TOT,NBA,C,44.0,774.0,9.4,0.473,0.42,0.141,8.5,27.6,17.8,4.0,1.5,4.8,17.4,18.1,-1.0,1.0,0.1,0.005,-5.8,0.0,-5.8,-0.7
2019-20,30.0,SAC,NBA,C,34.0,541.0,8.5,0.477,0.415,0.164,9.3,25.8,17.4,3.9,1.3,4.6,20.4,18.5,-0.8,0.7,-0.1,-0.007,-6.3,-0.1,-6.4,-0.6
2019-20,30.0,ATL,NBA,C,10.0,233.0,11.4,0.463,0.429,0.095,6.4,31.8,18.9,4.3,2.0,5.4,10.3,17.4,-0.2,0.3,0.2,0.032,-4.6,0.1,-4.5,-0.1
2020-21,31.0,MIA,NBA,C,16.0,210.0,24.5,0.735,0.077,0.415,15.5,31.0,23.4,9.6,2.1,3.0,14.5,19.3,0.7,0.4,1.1,0.256,1.2,0.7,1.9,0.2
2021-22,32.0,MIA,NBA,C,14.0,202.0,17.5,0.651,0.057,0.396,12.1,26.0,19.3,3.7,1.2,3.3,15.0,15.7,0.5,0.4,0.8,0.198,-1.4,0.4,-1.0,0.1
Career,,,NBA,,424.0,7607.0,15.1,0.591,0.23,0.266,9.7,27.1,18.3,5.7,1.5,4.0,15.2,15.4,8.4,11.2,19.6,0.124,-1.7,0.7,-1.1,1.9
,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,ATL,NBA,,136.0,3384.0,15.6,0.59,0.362,0.19,6.9,26.9,16.8,8.3,1.7,3.5,13.3,16.9,3.7,4.1,7.8,0.111,-0.7,0.6,-0.1,1.7
3 seasons,,ORL,NBA,,133.0,1784.0,14.7,0.575,0.003,0.401,13.1,24.8,18.9,2.0,1.3,5.0,16.6,13.9,2.1,2.5,4.6,0.123,-2.7,0.2,-2.5,-0.2
1 season,,SAS,NBA,,76.0,1330.0,16.0,0.645,0.0,0.359,11.2,30.6,21.1,4.8,1.4,3.7,16.9,12.3,2.3,3.0,5.2,0.189,-1.4,2.0,0.6,0.9
1 season,,SAC,NBA,,34.0,541.0,8.5,0.477,0.415,0.164,9.3,25.8,17.4,3.9,1.3,4.6,20.4,18.5,-0.8,0.7,-0.1,-0.007,-6.3,-0.1,-6.4,-0.6
2 seasons,,MIA,NBA,,30.0,412.0,21.0,0.697,0.068,0.407,13.9,28.6,21.4,6.7,1.7,3.1,14.7,17.5,1.2,0.8,2.0,0.228,-0.1,0.6,0.5,0.3
1 season,,PHI,NBA,,11.0,150.0,8.7,0.533,0.0,0.448,7.6,28.5,17.6,2.9,0.0,4.8,20.6,12.3,0.0,0.1,0.1,0.035,-5.8,0.0,-5.8,-0.1
1 season,,GSW,NBA,,4.0,6.0,-5.1,0.266,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.0,0.0,-0.107,-10.3,-3.2,-13.6,0.0
