Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,20.0,OKC,NBA,PF,81.0,66.0,20.1,2.4,5.9,0.399,0.6,2.0,0.321,1.7,4.0,0.438,0.452,0.5,0.8,0.657,0.6,3.0,3.6,1.0,0.5,0.4,1.0,2.5,5.9
2017-18,21.0,IND,NBA,C,74.0,19.0,24.5,4.6,8.9,0.514,0.2,0.5,0.351,4.4,8.4,0.524,0.524,2.3,3.0,0.75,2.2,5.5,7.7,2.0,0.5,0.4,1.9,3.0,11.6
2018-19,22.0,IND,NBA,C,74.0,5.0,24.8,5.6,9.5,0.59,0.1,0.2,0.529,5.5,9.2,0.592,0.596,2.8,3.9,0.715,2.5,6.8,9.3,2.9,0.6,0.4,2.2,3.2,14.1
2019-20,23.0,IND,NBA,PF,62.0,62.0,34.8,7.4,13.7,0.54,0.3,1.1,0.254,7.1,12.6,0.565,0.55,3.5,4.8,0.723,3.0,9.4,12.4,5.0,0.8,0.5,2.7,3.1,18.5
2020-21,24.0,IND,NBA,PF,62.0,62.0,36.0,7.8,14.6,0.535,0.8,2.6,0.321,7.0,12.0,0.582,0.564,3.9,5.3,0.732,2.4,9.5,12.0,6.7,1.2,0.5,3.4,3.3,20.3
2021-22,25.0,IND,NBA,C,16.0,16.0,35.9,7.3,12.7,0.576,0.9,2.9,0.298,6.4,9.8,0.66,0.611,2.8,4.0,0.688,3.1,8.4,11.5,3.7,1.3,0.4,3.1,3.3,18.3
Career,,,NBA,,369.0,230.0,27.8,5.4,10.3,0.528,0.4,1.3,0.319,5.0,9.0,0.559,0.548,2.5,3.4,0.723,2.1,6.7,8.8,3.3,0.7,0.4,2.2,3.0,13.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,IND,NBA,,288.0,164.0,29.9,6.3,11.5,0.546,0.4,1.1,0.318,5.9,10.4,0.572,0.562,3.0,4.2,0.727,2.6,7.7,10.3,4.0,0.8,0.5,2.5,3.2,16.0
1 season,,OKC,NBA,,81.0,66.0,20.1,2.4,5.9,0.399,0.6,2.0,0.321,1.7,4.0,0.438,0.452,0.5,0.8,0.657,0.6,3.0,3.6,1.0,0.5,0.4,1.0,2.5,5.9
