Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014-15,20.0,ORL,NBA,PG,82.0,2489.0,13.8,0.456,0.059,0.302,4.8,11.2,7.9,32.6,2.9,0.7,20.2,18.3,0.0,2.3,2.3,0.044,-1.5,0.3,-1.2,0.5
2015-16,21.0,ORL,NBA,PG,73.0,2145.0,13.9,0.478,0.126,0.26,3.9,9.6,6.7,32.8,2.1,0.8,17.9,20.4,0.5,1.7,2.2,0.05,-0.7,-0.6,-1.2,0.4
2016-17,22.0,ORL,NBA,PG,82.0,2412.0,17.2,0.52,0.16,0.231,3.9,13.9,8.7,35.7,1.8,1.3,15.0,21.6,2.4,2.0,4.4,0.088,0.8,0.0,0.8,1.7
2017-18,23.0,TOT,NBA,PG,63.0,1808.0,16.5,0.538,0.138,0.252,3.8,12.8,8.2,34.9,2.2,1.0,18.5,21.9,1.4,1.4,2.8,0.075,0.1,-0.3,-0.2,0.8
2017-18,23.0,ORL,NBA,PG,44.0,1257.0,18.1,0.564,0.146,0.249,4.1,11.2,7.6,35.5,2.5,1.0,18.3,21.8,1.6,1.1,2.7,0.104,1.0,0.1,1.1,1.0
2017-18,23.0,PHO,NBA,PG,19.0,551.0,13.1,0.481,0.12,0.258,3.2,16.3,9.7,33.7,1.7,0.9,18.8,22.1,-0.2,0.3,0.1,0.009,-2.1,-1.1,-3.2,-0.2
2018-19,24.0,NOP,NBA,PG,42.0,1250.0,14.0,0.502,0.255,0.18,4.1,14.0,9.1,33.5,1.6,1.1,20.1,18.3,0.6,0.9,1.5,0.058,-0.7,-0.7,-1.4,0.2
2019-20,25.0,NYK,NBA,PG,45.0,1246.0,16.0,0.47,0.157,0.195,4.3,14.1,9.1,38.6,2.7,1.3,16.7,19.5,0.5,1.2,1.7,0.065,-0.4,0.4,0.0,0.6
2020-21,26.0,NYK,NBA,PG,63.0,1484.0,11.7,0.478,0.158,0.172,4.7,11.0,7.9,21.6,1.6,0.6,13.3,23.2,-0.9,1.9,1.0,0.032,-2.8,-0.6,-3.4,-0.5
2021-22,27.0,PHO,NBA,PG,5.0,75.0,16.4,0.539,0.036,0.286,7.2,16.6,12.0,29.6,1.9,0.0,18.2,22.1,0.1,0.1,0.1,0.094,-1.9,-0.9,-2.8,0.0
Career,,,NBA,,455.0,12909.0,14.9,0.494,0.143,0.234,4.2,12.2,8.2,32.9,2.2,0.9,17.3,20.5,4.6,11.5,16.1,0.06,-0.7,-0.2,-0.9,3.7
,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,ORL,NBA,,281.0,8303.0,15.5,0.5,0.124,0.26,4.2,11.6,7.8,34.0,2.3,0.9,17.7,20.3,4.5,7.1,11.7,0.067,-0.2,0.0,-0.3,3.6
2 seasons,,NYK,NBA,,108.0,2730.0,13.7,0.474,0.157,0.182,4.6,12.4,8.4,29.4,2.1,0.9,14.8,21.5,-0.4,3.1,2.7,0.047,-1.7,-0.2,-1.8,0.1
1 season,,NOP,NBA,,42.0,1250.0,14.0,0.502,0.255,0.18,4.1,14.0,9.1,33.5,1.6,1.1,20.1,18.3,0.6,0.9,1.5,0.058,-0.7,-0.7,-1.4,0.2
2 seasons,,PHO,NBA,,24.0,626.0,13.5,0.488,0.11,0.262,3.7,16.4,10.0,33.2,1.7,0.8,18.8,22.1,-0.1,0.4,0.3,0.019,-2.1,-1.1,-3.2,-0.2
