,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2015-16,22.0,CHO,NBA,C,81.0,3.0,21.1,2.7,6.5,0.41,0.8,2.5,0.337,1.8,4.0,0.455,0.474,1.3,1.8,0.73,0.9,3.3,4.1,1.2,0.5,0.5,0.7,1.6,7.5
1,2016-17,23.0,CHO,NBA,C,75.0,16.0,26.1,4.3,10.7,0.399,1.5,4.7,0.328,2.7,6.0,0.455,0.471,1.6,2.1,0.756,0.8,3.7,4.5,2.2,0.6,0.5,1.0,1.9,11.7
2,2017-18,24.0,CHO,NBA,PF,79.0,4.0,23.2,3.9,9.1,0.429,1.3,3.5,0.38,2.6,5.6,0.459,0.501,2.0,2.5,0.799,0.6,3.1,3.6,1.6,0.5,0.2,0.8,1.2,11.1
3,2018-19,25.0,CHO,NBA,C,47.0,0.0,16.1,2.9,6.3,0.463,1.1,3.0,0.36,1.9,3.4,0.553,0.547,1.7,2.3,0.738,0.8,2.6,3.5,1.3,0.3,0.3,0.9,1.4,8.6
4,2019-20,26.0,PHO,NBA,C,39.0,13.0,19.9,3.5,7.9,0.45,1.1,3.2,0.331,2.5,4.7,0.53,0.516,1.6,2.3,0.678,0.9,3.6,4.5,1.9,0.4,0.3,0.9,1.9,9.7
5,2020-21,27.0,PHO,NBA,C,47.0,13.0,15.2,2.6,5.5,0.471,0.7,1.8,0.365,1.9,3.7,0.523,0.531,0.8,1.3,0.617,0.8,3.2,4.0,1.7,0.3,0.4,0.5,1.5,6.6
6,2021-22,28.0,PHO,NBA,C,1.0,0.0,10.0,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,0.0,0.0,,2.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0
7,Career,,,NBA,,369.0,49.0,21.0,3.4,7.9,0.426,1.1,3.2,0.347,2.2,4.7,0.48,0.497,1.5,2.0,0.739,0.8,3.3,4.0,1.6,0.4,0.4,0.8,1.6,9.3
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4 seasons,,CHO,NBA,,282.0,23.0,22.2,3.5,8.3,0.419,1.2,3.4,0.349,2.3,4.9,0.468,0.491,1.6,2.1,0.76,0.7,3.2,4.0,1.6,0.5,0.4,0.9,1.5,9.8
10,3 seasons,,PHO,NBA,,87.0,26.0,17.3,3.0,6.5,0.458,0.8,2.4,0.341,2.2,4.1,0.527,0.521,1.1,1.7,0.653,0.8,3.4,4.2,1.8,0.3,0.3,0.7,1.7,7.9
