Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2009-10,23.0,TOT,NBA,SG,27.0,334.0,10.5,0.553,0.366,0.495,2.1,8.8,5.4,9.6,2.0,1.3,18.0,20.3,0.0,0.4,0.4,0.057,-3.4,0.4,-2.9,-0.1
2009-10,23.0,HOU,NBA,SG,9.0,118.0,8.6,0.569,0.414,0.828,1.9,12.1,6.8,8.9,1.7,2.5,26.1,20.1,-0.1,0.1,0.0,0.004,-5.2,-0.3,-5.5,-0.1
2009-10,23.0,SAC,NBA,SG,5.0,23.0,15.4,0.539,0.25,0.625,4.9,10.1,7.5,13.2,2.2,0.0,16.4,23.5,0.0,0.0,0.0,0.078,0.0,0.5,0.5,0.0
2009-10,23.0,SAS,NBA,SG,13.0,193.0,11.1,0.546,0.359,0.328,1.9,6.6,4.3,9.5,2.2,0.7,13.1,20.0,0.1,0.2,0.3,0.086,-2.7,0.9,-1.8,0.0
2010-11,24.0,TOT,NBA,"PG,SG",24.0,230.0,4.7,0.378,0.544,0.25,0.5,11.6,6.0,21.9,2.6,2.1,23.4,20.1,-0.7,0.3,-0.4,-0.085,-6.2,-0.2,-6.4,-0.3
2010-11,24.0,SAS,NBA,SG,3.0,21.0,0.6,0.17,0.2,0.4,5.7,5.4,5.5,12.7,2.5,3.4,14.5,15.1,-0.1,0.0,-0.1,-0.135,-6.2,0.8,-5.4,0.0
2010-11,24.0,MIL,NBA,SG,9.0,83.0,3.1,0.373,0.476,0.19,0.0,8.6,4.2,11.6,0.6,0.9,8.1,14.0,-0.1,0.1,0.0,-0.019,-6.4,0.0,-6.4,-0.1
2010-11,24.0,CHA,NBA,PG,12.0,126.0,6.4,0.406,0.619,0.262,0.0,14.5,7.2,30.2,3.8,2.6,29.9,24.9,-0.5,0.2,-0.3,-0.119,-6.2,-0.4,-6.6,-0.1
2012-13,26.0,WAS,NBA,SG,51.0,1156.0,8.8,0.478,0.31,0.143,2.8,9.1,5.9,15.5,2.3,1.2,18.2,13.2,-0.3,1.5,1.2,0.049,-3.8,1.5,-2.3,-0.1
2013-14,27.0,WAS,NBA,SG,75.0,638.0,7.8,0.431,0.206,0.305,3.8,8.7,6.2,15.8,2.8,1.4,20.8,14.3,-0.5,0.9,0.3,0.025,-4.8,1.8,-3.0,-0.2
2014-15,28.0,WAS,NBA,SG,52.0,735.0,10.9,0.534,0.518,0.282,3.8,9.9,6.9,11.0,2.9,1.0,15.1,13.9,0.4,1.1,1.5,0.1,-2.0,2.6,0.6,0.5
2015-16,29.0,WAS,NBA,SF,80.0,1951.0,9.3,0.52,0.511,0.248,2.0,10.3,6.1,10.0,1.7,0.7,10.3,14.0,1.0,1.7,2.7,0.066,-2.5,0.4,-2.1,0.0
2016-17,30.0,SAC,NBA,SG,65.0,1728.0,11.2,0.545,0.509,0.171,2.2,10.1,6.2,14.4,2.5,1.5,14.4,14.2,0.9,1.3,2.2,0.061,-1.5,0.8,-0.8,0.5
2017-18,31.0,SAC,NBA,SG,65.0,1615.0,10.2,0.536,0.477,0.164,1.5,9.6,5.4,11.3,1.8,1.6,13.4,16.4,0.3,0.9,1.2,0.035,-2.2,-0.3,-2.5,-0.2
2018-19,32.0,TOT,NBA,SG,75.0,2040.0,8.5,0.543,0.535,0.217,1.5,10.2,5.8,7.4,1.8,1.4,11.5,13.2,0.3,2.0,2.2,0.052,-3.3,0.5,-2.8,-0.4
2018-19,32.0,MEM,NBA,SG,49.0,1530.0,8.6,0.551,0.543,0.196,1.3,10.0,5.6,6.7,1.6,1.5,11.4,13.9,0.1,1.5,1.6,0.05,-3.1,0.4,-2.7,-0.3
2018-19,32.0,LAC,NBA,SG,26.0,510.0,8.0,0.514,0.509,0.292,2.1,10.9,6.7,9.4,2.4,0.8,11.8,11.2,0.2,0.5,0.6,0.061,-4.1,1.0,-3.1,-0.1
2019-20,33.0,BRK,NBA,SG,62.0,1730.0,10.5,0.513,0.658,0.148,1.8,11.1,6.5,12.8,1.3,1.4,9.0,16.6,0.7,1.7,2.4,0.066,-1.4,0.3,-1.1,0.4
2020-21,34.0,CHI,NBA,SG,56.0,1528.0,8.2,0.525,0.525,0.131,2.1,9.4,5.8,10.5,1.4,1.7,12.6,13.1,0.2,1.4,1.6,0.05,-3.3,-0.1,-3.5,-0.6
2021-22,35.0,NOP,NBA,SG,21.0,381.0,10.6,0.538,0.596,0.222,3.6,11.0,7.2,8.8,2.3,2.7,14.9,14.3,0.1,0.3,0.4,0.049,-2.2,0.2,-2.0,0.0
Career,,,NBA,,653.0,14066.0,9.5,0.52,0.508,0.199,2.1,10.0,6.0,11.6,1.9,1.4,13.3,14.6,2.3,13.5,15.7,0.054,-2.7,0.6,-2.1,-0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,WAS,NBA,,258.0,4480.0,9.2,0.5,0.424,0.236,2.7,9.7,6.2,12.4,2.2,1.0,14.5,13.8,0.6,5.1,5.7,0.062,-3.1,1.3,-1.8,0.2
