Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,23.0,TOT,NBA,SG,27,4,12.4,1.6,3.7,.436,0.5,1.4,.351,1.1,2.4,.484,.500,1.3,1.9,.700,0.2,0.9,1.1,0.8,0.5,0.2,1.0,1.6,5.0
2009-10,23.0,HOU,NBA,SG,9,0,13.1,1.4,3.2,.448,0.3,1.3,.250,1.1,1.9,.588,.500,1.8,2.7,.667,0.2,1.3,1.6,0.8,0.4,0.4,1.6,1.8,5.0
2009-10,23.0,SAC,NBA,SG,5,0,4.6,0.6,1.6,.375,0.0,0.4,.000,0.6,1.2,.500,.375,1.0,1.0,1.000,0.2,0.4,0.6,0.4,0.2,0.0,0.4,0.2,2.2
2009-10,23.0,SAS,NBA,SG,13,4,14.8,2.2,4.9,.438,0.8,1.8,.435,1.4,3.2,.439,.516,1.1,1.6,.667,0.2,0.8,1.1,0.9,0.6,0.2,0.8,1.9,6.2
2010-11,24.0,TOT,NBA,"PG,SG",24,0,9.6,0.8,2.8,.294,0.4,1.5,.270,0.4,1.3,.323,.368,0.3,0.7,.412,0.0,0.9,1.0,1.3,0.5,0.3,1.0,1.0,2.4
2010-11,24.0,SAS,NBA,SG,3,0,7.0,0.3,1.7,.200,0.0,0.3,.000,0.3,1.3,.250,.200,0.0,0.7,.000,0.3,0.3,0.7,0.7,0.3,0.3,0.3,0.7,0.7
2010-11,24.0,MIL,NBA,SG,9,0,9.2,0.8,2.3,.333,0.3,1.1,.300,0.4,1.2,.364,.405,0.0,0.4,.000,0.0,0.7,0.7,0.7,0.1,0.1,0.2,0.9,1.9
2010-11,24.0,CHA,NBA,PG,12,0,10.5,1.0,3.5,.286,0.6,2.2,.269,0.4,1.3,.313,.369,0.6,0.9,.636,0.0,1.3,1.3,2.0,0.8,0.3,1.7,1.2,3.2
2011-12,25.0,Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy)
2012-13,26.0,WAS,NBA,SG,51,36,22.7,2.1,5.1,.407,0.5,1.6,.325,1.5,3.5,.444,.457,0.5,0.7,.703,0.6,1.8,2.4,2.3,1.0,0.3,1.2,1.8,5.1
