,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2018-19,24.0,HOU,NBA,PF,51.0,2.0,12.6,1.0,3.0,0.331,0.8,2.7,0.297,0.2,0.3,0.692,0.467,0.1,0.1,1.0,0.5,1.8,2.3,0.4,0.4,0.5,0.1,0.9,2.9
1,2019-20,25.0,TOT,NBA,"PF,SF",42.0,5.0,13.5,1.3,3.2,0.406,0.9,2.6,0.351,0.4,0.5,0.682,0.553,0.2,0.2,0.9,0.9,1.7,2.6,0.4,0.1,0.5,0.2,1.1,3.7
2,2019-20,25.0,HOU,NBA,PF,18.0,0.0,11.8,1.3,3.3,0.39,1.0,2.8,0.353,0.3,0.4,0.625,0.542,0.3,0.4,0.857,0.6,1.6,2.2,0.7,0.1,0.4,0.1,1.2,3.9
3,2019-20,25.0,ORL,NBA,SF,24.0,5.0,14.8,1.3,3.1,0.419,0.9,2.5,0.35,0.4,0.6,0.714,0.561,0.1,0.1,1.0,1.1,1.8,2.9,0.2,0.2,0.6,0.3,1.0,3.6
4,2020-21,26.0,TOT,NBA,"PF,SF",39.0,11.0,16.8,1.0,3.4,0.303,0.8,2.8,0.287,0.2,0.6,0.375,0.42,0.2,0.3,0.8,0.8,2.1,2.9,0.8,0.3,0.2,0.4,0.9,3.1
5,2020-21,26.0,ORL,NBA,SF,35.0,11.0,18.2,1.1,3.7,0.305,0.9,3.1,0.287,0.3,0.7,0.391,0.424,0.2,0.3,0.8,0.9,2.3,3.2,0.9,0.3,0.2,0.5,1.0,3.4
6,2020-21,26.0,DEN,NBA,SF,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-21,26.0,PHI,NBA,PF,2.0,0.0,6.5,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0
8,Career,,,NBA,,132.0,18.0,14.1,1.1,3.2,0.346,0.8,2.7,0.311,0.3,0.4,0.559,0.48,0.2,0.2,0.889,0.7,1.9,2.6,0.5,0.3,0.4,0.3,1.0,3.2
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2 seasons,,HOU,NBA,,69.0,2.0,12.4,1.1,3.0,0.348,0.9,2.7,0.312,0.2,0.3,0.667,0.488,0.2,0.2,0.929,0.5,1.8,2.3,0.4,0.3,0.5,0.1,1.0,3.2
11,2 seasons,,ORL,NBA,,59.0,16.0,16.8,1.2,3.5,0.346,0.9,2.8,0.31,0.3,0.6,0.514,0.473,0.2,0.2,0.846,1.0,2.1,3.1,0.6,0.3,0.4,0.4,1.0,3.5
12,1 season,,DEN,NBA,,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
13,1 season,,PHI,NBA,,2.0,0.0,6.5,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0
