Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014-15,20.0,DEN,NBA,SG,55.0,719.0,4.9,0.395,0.475,0.217,3.0,6.7,4.8,5.9,2.7,0.8,13.8,16.6,-1.2,0.5,-0.7,-0.046,-5.6,0.3,-5.3,-0.6
2015-16,21.0,DEN,NBA,SG,76.0,2439.0,12.7,0.566,0.388,0.174,2.4,7.7,5.0,9.5,2.0,0.6,10.6,16.5,2.8,1.2,4.0,0.079,-0.6,-0.2,-0.9,0.7
2016-17,22.0,DEN,NBA,SG,57.0,1782.0,16.5,0.611,0.4,0.21,3.0,8.0,5.5,13.6,1.9,0.3,9.8,18.4,3.9,0.7,4.6,0.124,1.5,-0.9,0.7,1.2
2017-18,23.0,DEN,NBA,SG,67.0,2304.0,16.5,0.597,0.434,0.178,1.8,6.8,4.3,13.0,2.6,0.5,10.8,20.7,3.9,1.5,5.5,0.114,1.0,-0.2,0.8,1.7
2018-19,24.0,DEN,NBA,SG,57.0,1639.0,12.2,0.526,0.38,0.226,2.7,7.9,5.3,11.0,1.6,1.0,8.9,20.0,1.1,1.5,2.6,0.076,-1.2,-0.4,-1.6,0.2
2019-20,25.0,DEN,NBA,SG,56.0,1780.0,9.7,0.519,0.405,0.177,1.6,8.6,5.1,8.9,2.1,0.7,9.7,15.1,0.5,1.4,1.9,0.052,-2.8,0.3,-2.5,-0.2
2020-21,26.0,TOT,NBA,SG,39.0,1080.0,9.1,0.511,0.409,0.226,2.1,5.9,4.0,10.3,1.3,1.0,8.9,16.7,0.2,0.6,0.7,0.033,-2.9,-1.8,-4.7,-0.8
2020-21,26.0,DEN,NBA,SG,19.0,581.0,9.3,0.544,0.481,0.192,2.5,6.6,4.6,7.1,1.4,0.7,7.6,13.8,0.4,0.4,0.8,0.065,-2.1,-1.5,-3.6,-0.2
2020-21,26.0,ORL,NBA,SG,20.0,499.0,9.0,0.485,0.349,0.254,1.6,5.2,3.3,14.0,1.1,1.3,9.9,20.2,-0.2,0.2,0.0,-0.005,-3.8,-2.3,-6.0,-0.5
2021-22,27.0,ORL,NBA,SG,6.0,137.0,4.8,0.458,0.289,0.079,4.0,3.8,3.9,11.4,0.7,0.7,20.3,15.6,-0.2,0.0,-0.2,-0.06,-5.2,-3.3,-8.4,-0.2
Career,,,NBA,,413.0,11880.0,12.6,0.553,0.407,0.195,2.3,7.5,4.9,10.8,2.0,0.7,10.3,17.9,11.1,7.4,18.5,0.075,-0.9,-0.4,-1.4,1.9
,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,DEN,NBA,,387.0,11244.0,12.9,0.557,0.411,0.193,2.4,7.6,5.0,10.6,2.1,0.6,10.2,17.8,11.5,7.2,18.7,0.08,-0.8,-0.3,-1.1,2.7
2 seasons,,ORL,NBA,,26.0,636.0,8.1,0.481,0.339,0.225,2.1,4.9,3.5,13.5,1.0,1.1,11.7,19.2,-0.4,0.2,-0.2,-0.016,-4.1,-2.5,-6.5,-0.7
