,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,1995-96,21.0,POR,NBA,PF,69.0,1219.0,12.4,0.527,0.021,0.329,7.9,14.3,11.1,7.0,1.1,0.7,15.8,21.0,0.1,1.6,1.7,0.065,-2.6,-0.3,-2.9,-0.3
1,1996-97,22.0,POR,NBA,PF,82.0,1918.0,16.8,0.569,0.016,0.34,9.9,16.3,13.2,8.0,1.3,1.4,14.3,21.2,2.9,2.6,5.5,0.139,0.2,-0.1,0.1,1.0
2,1997-98,23.0,TOT,NBA,PF,54.0,1360.0,16.2,0.527,0.024,0.42,10.5,17.9,14.3,9.6,1.4,1.4,13.6,22.8,1.6,1.6,3.1,0.11,-0.2,-0.6,-0.8,0.4
3,1997-98,23.0,POR,NBA,PF,41.0,1005.0,16.7,0.547,0.025,0.454,9.6,17.2,13.5,10.5,1.4,1.4,14.3,22.6,1.4,1.4,2.8,0.135,0.3,0.5,0.8,0.7
4,1997-98,23.0,TOR,NBA,PF,13.0,355.0,14.9,0.474,0.021,0.336,13.1,20.0,16.4,7.0,1.2,1.6,11.6,23.4,0.1,0.1,0.3,0.039,-1.6,-3.5,-5.2,-0.3
5,1998-99,24.0,DAL,NBA,PF,45.0,1362.0,20.8,0.51,0.008,0.39,10.4,18.6,14.5,11.0,1.1,1.2,8.6,26.0,3.0,1.0,4.0,0.14,2.6,-1.4,1.2,1.1
6,1999-00,25.0,DAL,NBA,SF,11.0,301.0,14.6,0.499,0.014,0.148,7.2,11.4,9.3,12.7,1.3,0.7,14.2,25.8,-0.1,0.1,0.1,0.014,-0.6,-2.2,-2.8,-0.1
7,2000-01,26.0,DAL,NBA,PF,33.0,319.0,13.8,0.456,0.008,0.277,14.0,18.1,16.1,5.2,2.1,1.8,13.1,23.9,-0.1,0.5,0.4,0.057,-3.2,-1.2,-4.3,-0.2
8,2001-02,27.0,MIN,NBA,PF,64.0,1140.0,15.4,0.538,0.005,0.378,10.7,16.6,13.7,8.3,1.0,1.8,11.5,19.9,1.9,1.1,3.0,0.125,-0.8,-0.7,-1.6,0.1
9,2002-03,28.0,MIN,NBA,SF,80.0,1222.0,15.9,0.549,0.005,0.26,10.1,16.7,13.5,10.0,1.4,1.4,12.0,18.3,2.0,1.3,3.3,0.128,0.0,-0.1,-0.1,0.6
10,2003-04,29.0,MIN,NBA,C,68.0,1025.0,12.9,0.515,0.018,0.277,9.8,14.1,12.0,7.8,0.6,1.2,12.8,19.4,1.1,1.2,2.3,0.106,-2.2,-1.1,-3.2,-0.3
11,Career,,,NBA,,506.0,9866.0,15.9,0.531,0.014,0.338,10.0,16.4,13.2,8.8,1.2,1.3,12.7,21.6,12.4,10.9,23.2,0.113,-0.4,-0.6,-1.0,2.4
12,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3 seasons,,MIN,NBA,,212.0,3387.0,14.9,0.535,0.009,0.306,10.2,15.9,13.1,8.8,1.0,1.4,12.1,19.2,5.0,3.5,8.5,0.12,-0.9,-0.6,-1.5,0.4
14,3 seasons,,POR,NBA,,192.0,4142.0,15.5,0.551,0.02,0.365,9.2,16.0,12.7,8.3,1.3,1.2,14.7,21.5,4.4,5.6,10.0,0.116,-0.6,0.0,-0.6,1.5
15,3 seasons,,DAL,NBA,,89.0,1982.0,18.7,0.5,0.009,0.334,10.5,17.4,13.9,10.3,1.3,1.2,10.1,25.7,2.8,1.6,4.4,0.107,1.2,-1.5,-0.3,0.8
16,1 season,,TOR,NBA,,13.0,355.0,14.9,0.474,0.021,0.336,13.1,20.0,16.4,7.0,1.2,1.6,11.6,23.4,0.1,0.1,0.3,0.039,-1.6,-3.5,-5.2,-0.3
