Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,23.0,IND,NBA,PF,23.0,0.0,4.0,0.4,1.6,0.25,0.0,0.5,0.083,0.3,1.0,0.333,0.264,0.1,0.1,1.0,0.1,0.7,0.7,0.2,0.1,0.0,0.2,0.3,0.9
2017-18,24.0,UTA,NBA,PF,9.0,0.0,3.6,0.4,1.2,0.364,0.0,0.4,0.0,0.4,0.8,0.571,0.364,0.1,0.2,0.5,0.3,0.7,1.0,0.3,0.2,0.0,0.3,0.1,1.0
2018-19,25.0,UTA,NBA,PF,59.0,0.0,8.7,1.5,3.1,0.475,0.7,1.8,0.41,0.7,1.3,0.566,0.594,0.3,0.4,0.833,0.2,1.3,1.5,0.6,0.2,0.1,0.4,1.0,4.0
2019-20,26.0,UTA,NBA,PF,66.0,1.0,14.0,2.1,4.9,0.438,1.4,3.4,0.4,0.8,1.5,0.526,0.578,0.3,0.4,0.833,0.2,1.7,1.9,0.7,0.3,0.1,0.5,1.1,5.9
2020-21,27.0,UTA,NBA,PF,72.0,10.0,16.0,2.5,5.6,0.437,1.7,4.1,0.425,0.7,1.6,0.469,0.59,0.3,0.3,0.957,0.4,2.1,2.4,0.8,0.3,0.1,0.7,1.6,6.9
2021-22,28.0,PHI,NBA,PF,11.0,0.0,22.9,4.2,9.5,0.442,2.4,6.2,0.382,1.8,3.3,0.556,0.567,1.5,1.6,0.889,0.3,2.2,2.5,1.6,0.4,0.3,0.5,2.5,12.2
Career,,,NBA,,240.0,11.0,12.4,1.9,4.4,0.437,1.2,2.9,0.402,0.7,1.5,0.507,0.571,0.3,0.4,0.871,0.3,1.6,1.8,0.7,0.3,0.1,0.5,1.2,5.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,UTA,NBA,,206.0,11.0,12.7,2.0,4.5,0.444,1.2,3.0,0.411,0.7,1.4,0.515,0.584,0.3,0.4,0.863,0.3,1.7,1.9,0.7,0.3,0.1,0.5,1.2,5.5
1 season,,IND,NBA,,23.0,0.0,4.0,0.4,1.6,0.25,0.0,0.5,0.083,0.3,1.0,0.333,0.264,0.1,0.1,1.0,0.1,0.7,0.7,0.2,0.1,0.0,0.2,0.3,0.9
1 season,,PHI,NBA,,11.0,0.0,22.9,4.2,9.5,0.442,2.4,6.2,0.382,1.8,3.3,0.556,0.567,1.5,1.6,0.889,0.3,2.2,2.5,1.6,0.4,0.3,0.5,2.5,12.2
