Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2010-11,20.0,UTA,NBA,SF,72.0,1218.0,10.7,0.578,0.253,0.331,4.0,9.8,6.9,10.2,1.3,1.3,17.3,15.3,0.8,0.4,1.2,0.048,-1.2,-1.1,-2.2,-0.1
2011-12,21.0,UTA,NBA,SF,66.0,2015.0,15.5,0.568,0.271,0.396,3.3,9.9,6.6,15.9,1.4,1.6,13.7,17.8,3.8,1.0,4.9,0.116,1.7,-0.1,1.5,1.8
2012-13,22.0,UTA,NBA,SF,72.0,2104.0,16.8,0.564,0.318,0.38,2.8,9.8,6.3,16.7,1.5,1.4,11.7,22.1,4.2,1.2,5.4,0.123,2.5,-0.5,2.0,2.1
2013-14,23.0,UTA,NBA,SF,77.0,2800.0,16.2,0.52,0.271,0.369,2.5,14.0,8.0,24.1,2.1,1.1,15.0,23.1,2.2,1.5,3.6,0.062,1.0,-0.2,0.8,2.0
2014-15,24.0,UTA,NBA,SF,76.0,2618.0,20.2,0.567,0.304,0.425,2.4,14.0,8.2,21.7,2.2,0.9,13.8,26.2,5.8,2.9,8.7,0.159,3.5,0.5,4.0,4.0
2015-16,25.0,UTA,NBA,SF,80.0,2893.0,18.3,0.559,0.341,0.397,2.5,13.5,8.0,18.2,1.7,0.8,12.5,25.7,5.5,3.4,8.9,0.147,2.4,0.2,2.6,3.3
2016-17,26.0,UTA,NBA,SF,73.0,2516.0,22.2,0.595,0.324,0.371,2.3,15.4,9.0,18.2,1.5,0.6,9.4,27.6,7.1,3.3,10.4,0.199,4.6,0.5,5.0,4.5
2017-18,27.0,BOS,NBA,SF,1.0,5.0,7.3,0.5,0.5,0.0,0.0,21.6,10.9,0.0,0.0,0.0,0.0,17.9,0.0,0.0,0.0,0.056,-6.6,-0.8,-7.4,0.0
2018-19,28.0,BOS,NBA,PF,72.0,1863.0,15.6,0.575,0.364,0.294,2.9,15.5,9.2,18.4,1.6,1.1,12.8,19.0,2.6,2.3,4.9,0.126,0.4,0.4,0.8,1.3
2019-20,29.0,BOS,NBA,SF,52.0,1740.0,18.1,0.595,0.317,0.207,3.4,17.8,10.7,18.7,1.1,1.2,11.2,21.1,3.5,2.2,5.7,0.158,2.6,0.1,2.7,2.0
2020-21,30.0,CHO,NBA,SF,44.0,1496.0,17.6,0.584,0.312,0.281,2.6,16.3,9.3,19.5,1.7,0.9,11.0,23.9,2.2,1.4,3.5,0.114,1.9,-0.5,1.4,1.3
2021-22,31.0,CHO,NBA,SF,11.0,381.0,15.6,0.612,0.363,0.219,1.8,13.9,7.5,13.7,0.9,1.1,13.0,20.0,0.7,-0.1,0.6,0.071,1.3,-2.2,-1.0,0.1
Career,,,NBA,,696.0,21649.0,17.5,0.569,0.313,0.353,2.8,13.7,8.2,18.6,1.6,1.1,12.6,22.8,38.3,19.4,57.8,0.128,2.1,0.0,2.1,22.3
,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,UTA,NBA,,516.0,16164.0,17.7,0.563,0.306,0.387,2.7,12.8,7.7,18.7,1.7,1.1,12.9,23.4,29.4,13.7,43.0,0.128,2.3,0.0,2.3,17.6
3 seasons,,BOS,NBA,,125.0,3608.0,16.8,0.585,0.34,0.248,3.2,16.7,9.9,18.5,1.3,1.1,11.9,20.0,6.1,4.5,10.6,0.141,1.4,0.3,1.7,3.4
2 seasons,,CHO,NBA,,55.0,1877.0,17.2,0.589,0.321,0.27,2.5,15.8,9.0,18.3,1.5,1.0,11.3,23.1,2.8,1.3,4.1,0.105,1.7,-0.9,0.9,1.4
