Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,24.0,MIN,NBA,C,60.0,15.0,13.6,1.9,3.8,0.498,0.0,0.0,1.0,1.9,3.8,0.496,0.5,1.0,1.6,0.634,1.7,3.3,5.0,0.7,0.5,0.8,0.9,1.8,4.8
2014-15,25.0,MIN,NBA,C,73.0,49.0,30.0,3.5,7.0,0.506,0.0,0.1,0.167,3.5,6.9,0.51,0.507,2.6,3.3,0.783,3.1,5.3,8.3,2.0,1.0,1.7,1.7,2.6,9.7
2015-16,26.0,MIN,NBA,C,82.0,39.0,27.1,3.8,7.1,0.532,0.1,0.2,0.3,3.7,6.8,0.54,0.537,2.5,3.0,0.827,1.9,5.2,7.1,1.7,1.1,1.2,1.7,2.7,10.1
2016-17,27.0,MIN,NBA,PF,82.0,82.0,32.4,4.0,8.1,0.502,0.2,0.5,0.372,3.9,7.5,0.511,0.514,1.7,2.0,0.814,2.3,5.6,7.9,1.9,1.1,1.2,1.3,3.1,10.0
2017-18,28.0,MIN,NBA,C,79.0,0.0,16.9,2.4,4.9,0.479,0.2,0.8,0.311,2.1,4.1,0.511,0.504,1.0,1.3,0.775,1.3,3.2,4.6,0.9,0.6,0.5,0.7,1.9,5.9
2018-19,29.0,MIN,NBA,C,76.0,2.0,13.6,2.5,5.0,0.501,0.3,0.7,0.339,2.2,4.2,0.53,0.527,1.2,1.4,0.83,1.1,3.0,4.1,0.9,0.6,0.5,0.8,1.8,6.4
2019-20,30.0,TOT,NBA,C,63.0,17.0,17.4,2.6,5.8,0.456,0.9,2.4,0.355,1.8,3.4,0.528,0.53,1.2,1.6,0.772,1.4,4.2,5.6,1.2,0.8,0.9,1.0,2.0,7.4
2019-20,30.0,MIN,NBA,C,46.0,17.0,16.9,2.7,6.0,0.448,1.0,2.6,0.383,1.7,3.4,0.497,0.531,1.0,1.3,0.797,1.6,4.0,5.6,1.3,0.8,0.9,1.0,1.9,7.4
2019-20,30.0,MEM,NBA,C,17.0,0.0,18.7,2.5,5.1,0.483,0.5,1.9,0.25,2.0,3.2,0.618,0.529,1.8,2.5,0.738,1.1,4.7,5.8,0.9,0.8,1.0,0.9,2.1,7.2
2020-21,31.0,TOT,NBA,C,38.0,1.0,14.5,2.2,4.3,0.521,0.8,1.8,0.429,1.4,2.4,0.591,0.613,1.5,1.8,0.866,1.1,2.6,3.7,1.3,0.7,0.4,0.8,1.5,6.8
2020-21,31.0,MEM,NBA,C,22.0,1.0,16.9,2.5,4.9,0.519,1.0,2.2,0.479,1.5,2.7,0.55,0.625,1.7,2.0,0.884,1.3,3.2,4.5,1.3,0.8,0.6,1.0,1.7,7.9
2020-21,31.0,SAS,NBA,C,16.0,0.0,11.3,1.8,3.4,0.527,0.4,1.4,0.318,1.4,2.1,0.667,0.591,1.3,1.5,0.833,0.8,1.9,2.6,1.2,0.6,0.1,0.6,1.1,5.3
2021-22,32.0,ATL,NBA,C,15.0,0.0,8.9,0.7,2.1,0.355,0.3,0.9,0.286,0.5,1.1,0.412,0.419,0.5,0.8,0.667,1.3,2.9,4.2,0.8,0.3,0.3,0.5,1.3,2.3
Career,,,NBA,,568.0,205.0,21.2,2.9,5.8,0.499,0.3,0.7,0.355,2.6,5.1,0.521,0.522,1.6,2.0,0.791,1.8,4.2,5.9,1.3,0.8,0.9,1.1,2.2,7.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,MIN,NBA,,498.0,204.0,22.1,3.0,6.1,0.5,0.2,0.6,0.352,2.8,5.4,0.517,0.518,1.6,2.0,0.79,1.9,4.3,6.2,1.4,0.8,1.0,1.2,2.3,7.9
2 seasons,,MEM,NBA,,39.0,1.0,17.7,2.5,5.0,0.503,0.8,2.1,0.388,1.7,2.9,0.583,0.582,1.8,2.2,0.812,1.2,3.8,5.0,1.1,0.8,0.8,1.0,1.9,7.6
1 season,,SAS,NBA,,16.0,0.0,11.3,1.8,3.4,0.527,0.4,1.4,0.318,1.4,2.1,0.667,0.591,1.3,1.5,0.833,0.8,1.9,2.6,1.2,0.6,0.1,0.6,1.1,5.3
1 season,,ATL,NBA,,15.0,0.0,8.9,0.7,2.1,0.355,0.3,0.9,0.286,0.5,1.1,0.412,0.419,0.5,0.8,0.667,1.3,2.9,4.2,0.8,0.3,0.3,0.5,1.3,2.3
