Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018-19,20.0,OKC,NBA,SG,51.0,526.0,10.1,0.497,0.145,0.358,7.2,12.0,9.5,4.4,1.9,1.6,10.7,16.6,0.1,0.7,0.8,0.069,-4.4,0.2,-4.2,-0.3
2019-20,21.0,OKC,NBA,SF,46.0,896.0,9.3,0.491,0.193,0.213,5.6,14.7,10.3,5.9,2.0,0.9,13.6,18.4,-0.7,1.1,0.4,0.022,-4.2,0.3,-3.9,-0.4
2020-21,22.0,TOT,NBA,"SF,SG",52.0,1226.0,14.3,0.541,0.174,0.426,5.1,18.8,11.9,13.3,1.6,1.7,12.0,22.2,0.3,1.3,1.6,0.063,-2.2,-0.1,-2.3,-0.1
2020-21,22.0,OKC,NBA,SG,32.0,761.0,15.0,0.536,0.138,0.444,5.0,17.7,11.3,16.4,1.9,1.4,12.1,22.5,0.3,0.8,1.0,0.065,-2.1,0.4,-1.7,0.1
2020-21,22.0,DET,NBA,SF,20.0,465.0,13.1,0.549,0.237,0.393,5.2,20.6,12.8,8.3,1.1,2.2,11.7,21.6,0.1,0.5,0.6,0.059,-2.4,-1.0,-3.4,-0.2
2021-22,23.0,DET,NBA,SG,8.0,101.0,10.8,0.561,0.31,0.172,3.0,13.2,7.6,8.2,1.9,1.8,16.1,15.7,0.0,0.1,0.1,0.046,-4.6,0.5,-4.1,-0.1
Career,,,NBA,,157.0,2749.0,11.7,0.52,0.179,0.341,5.6,16.0,10.7,9.0,1.8,1.4,12.4,19.6,-0.3,3.2,2.9,0.05,-3.4,0.1,-3.3,-0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,OKC,NBA,,129.0,2183.0,11.5,0.511,0.161,0.335,5.8,15.1,10.4,9.2,1.9,1.2,12.4,19.4,-0.4,2.6,2.2,0.048,-3.5,0.3,-3.2,-0.7
2 seasons,,DET,NBA,,28.0,566.0,12.7,0.551,0.248,0.361,4.8,19.3,11.9,8.3,1.2,2.2,12.4,20.6,0.1,0.6,0.7,0.057,-2.8,-0.8,-3.6,-0.2
