Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,20.0,OKC,NBA,SG,51.0,3.0,10.3,1.5,3.2,0.455,0.1,0.5,0.167,1.4,2.8,0.504,0.467,0.7,1.2,0.61,0.7,1.2,1.9,0.3,0.4,0.2,0.5,1.5,3.7
2019-20,21.0,OKC,NBA,SF,46.0,3.0,19.5,2.9,6.4,0.446,0.3,1.2,0.281,2.5,5.2,0.485,0.473,0.8,1.4,0.603,1.0,2.7,3.6,0.8,0.8,0.2,1.1,2.2,6.9
2020-21,22.0,TOT,NBA,"SF,SG",52.0,9.0,23.6,4.3,9.0,0.477,0.5,1.6,0.341,3.8,7.5,0.505,0.506,2.5,3.8,0.64,1.1,4.1,5.2,1.9,0.8,0.5,1.5,2.6,11.6
2020-21,22.0,OKC,NBA,SG,32.0,5.0,23.8,4.5,9.3,0.481,0.4,1.3,0.293,4.1,8.0,0.512,0.502,2.6,4.1,0.629,1.2,4.0,5.2,2.4,1.0,0.4,1.5,2.6,11.9
2020-21,22.0,DET,NBA,SF,20.0,4.0,23.3,4.1,8.7,0.468,0.8,2.1,0.39,3.3,6.6,0.492,0.514,2.3,3.4,0.662,1.1,4.3,5.4,1.2,0.5,0.6,1.4,2.6,11.2
2021-22,23.0,DET,NBA,SG,6.0,1.0,12.8,1.7,4.0,0.417,0.3,1.3,0.25,1.3,2.7,0.5,0.458,0.7,0.7,1.0,0.5,1.3,1.8,0.7,0.5,0.2,0.8,1.2,4.3
Career,,,NBA,,155.0,16.0,17.6,2.8,6.2,0.462,0.3,1.1,0.292,2.5,5.1,0.499,0.488,1.3,2.1,0.632,0.9,2.6,3.5,1.0,0.7,0.3,1.0,2.1,7.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,OKC,NBA,,129.0,11.0,16.9,2.7,5.9,0.462,0.2,0.9,0.262,2.5,4.9,0.5,0.483,1.2,2.0,0.618,0.9,2.4,3.3,1.0,0.7,0.2,1.0,2.0,6.9
2 seasons,,DET,NBA,,26.0,5.0,20.8,3.5,7.6,0.462,0.7,1.9,0.367,2.8,5.7,0.493,0.508,1.9,2.8,0.681,1.0,3.6,4.5,1.1,0.5,0.5,1.2,2.2,9.6
