No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Josh Christopher,G,6-5,215,"December 8, 2001",us,R,Arizona State
,Jae'Sean Tate,F,6-4,230,"October 28, 1995",us,1,Ohio State
,Anthony Lamb (TW),F,6-6,227,"January 20, 1998",us,1,University of Vermont
,John Wall,G,6-3,210,"September 6, 1990",us,10,Kentucky
,Alperen Şengün,F,6-9,235,"July 25, 2002",tr,R,
,D.J. Augustin,G,5-11,183,"November 10, 1987",us,13,Texas
,Eric Gordon,G-F,6-3,215,"December 25, 1988",us,13,Indiana
,David Nwaba,G,6-5,219,"January 14, 1993",us,5,Cal Poly
,Kenyon Martin Jr.,F,6-6,215,"January 6, 2001",us,1,
,Kevin Porter Jr.,G,6-4,203,"May 4, 2000",us,2,USC
,Matthew Hurt (TW),F,6-9,235,"April 20, 2000",us,R,Duke
,Khyri Thomas,G,6-3,210,"May 8, 1996",us,3,Creighton
,Danuel House,G,6-6,220,"June 7, 1993",us,5,Texas A&M
,Usman Garuba,F,6-8,220,"March 9, 2002",es,R,
,Jalen Green,G,6-6,178,"February 9, 2002",us,R,
,Avery Bradley,G,6-3,180,"November 26, 1990",us,11,Texas
,Daishen Nix,G,6-5,224,"February 13, 2002",us,R,
,Daniel Theis,C,6-8,245,"April 4, 1992",de,4,
,Christian Wood,F,6-10,214,"September 27, 1995",us,5,UNLV
,Tyler Bey,F,6-7,215,"February 10, 1998",us,1,Colorado
