Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,21.0,NYK,NBA,SF,9.0,0.0,5.9,0.7,2.4,0.273,0.1,1.0,0.111,0.6,1.4,0.385,0.295,0.4,0.6,0.8,0.2,0.3,0.6,0.4,0.0,0.1,0.2,0.3,1.9
2020-21,22.0,TOT,NBA,SF,13.0,0.0,19.2,2.7,6.4,0.422,0.8,2.2,0.393,1.8,4.2,0.436,0.488,0.8,1.1,0.714,0.8,2.6,3.5,1.3,0.3,0.2,0.9,1.7,7.0
2020-21,22.0,NYK,NBA,SF,4.0,0.0,1.8,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.5,0.5,1.0,0.3,0.3,0.5,0.3,0.0,0.0,0.3,0.0,0.5
2020-21,22.0,PHI,NBA,SF,1.0,0.0,8.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,22.0,ORL,NBA,SF,8.0,0.0,29.3,4.4,9.9,0.443,1.4,3.4,0.407,3.0,6.5,0.462,0.513,1.0,1.5,0.667,1.3,3.9,5.1,2.0,0.5,0.4,1.4,2.8,11.1
2021-22,23.0,ORL,NBA,SF,11.0,0.0,8.4,0.6,2.5,0.259,0.3,1.5,0.188,0.4,1.0,0.364,0.315,0.1,0.2,0.5,0.5,1.1,1.5,0.5,0.3,0.0,0.3,1.0,1.6
Career,,,NBA,,33.0,0.0,11.9,1.5,4.0,0.364,0.5,1.6,0.283,1.0,2.4,0.418,0.42,0.5,0.6,0.714,0.5,1.5,2.0,0.8,0.2,0.1,0.5,1.1,3.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,ORL,NBA,,19.0,0.0,17.2,2.2,5.6,0.396,0.7,2.3,0.326,1.5,3.3,0.444,0.462,0.5,0.7,0.643,0.8,2.3,3.1,1.1,0.4,0.2,0.7,1.7,5.6
2 seasons,,NYK,NBA,,13.0,0.0,4.6,0.5,1.8,0.261,0.1,0.7,0.111,0.4,1.1,0.357,0.283,0.5,0.5,0.857,0.2,0.3,0.5,0.4,0.0,0.1,0.2,0.2,1.5
1 season,,PHI,NBA,,1.0,0.0,8.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
