No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Terry Taylor,G-F,6-5,230,"September 23, 1999",us,R,Austin Peay State University
,Jeremy Lamb,G-F,6-5,180,"May 30, 1992",us,9,UConn
,Nate Hinton,G,6-5,210,"June 8, 1999",us,1,Houston
,T.J. Warren,F,6-8,220,"September 5, 1993",us,7,NC State
,Keifer Sykes,G,6-0,180,"December 30, 1993",us,R,Green Bay
,Edmond Sumner,G,6-4,196,"December 31, 1995",us,4,Xavier
,Myles Turner,C-F,6-11,250,"March 24, 1996",us,6,Texas
,Duane Washington Jr. (TW),G,6-3,210,"March 24, 2000",de,R,Ohio State
,Justin Holiday,F,6-6,180,"April 5, 1989",us,8,Washington
,Caris LeVert,G-F,6-6,205,"August 25, 1994",us,5,Michigan
,Chris Duarte,G,6-6,190,"June 13, 1997",dr,R,Oregon
,Kelan Martin,F,6-5,230,"August 3, 1995",us,2,Butler
,Domantas Sabonis,F-C,6-11,240,"May 3, 1996",us,5,Gonzaga
,Isaiah Jackson,F-C,6-10,206,"January 10, 2002",us,R,Kentucky
,Oshae Brissett,F,6-7,210,"June 20, 1998",ca,2,Syracuse
,Malcolm Brogdon,G,6-5,229,"December 11, 1992",us,5,Virginia
,Torrey Craig,G-F,6-7,221,"December 19, 1990",us,4,USC Upstate
,T.J. McConnell,G,6-1,190,"March 25, 1992",us,6,"Duquesne, Arizona"
,Goga Bitadze,C,6-11,250,"July 20, 1999",ge,2,
,DeJon Jarreau (TW),G,6-5,185,"January 23, 1998",us,R,"UMass, Houston"
