Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,20.0,HOU,NBA,PF,28.0,0.0,7.9,0.7,1.5,0.488,0.1,0.2,0.333,0.6,1.3,0.514,0.512,0.4,0.5,0.786,0.8,0.9,1.7,0.5,0.3,0.4,0.5,2.0,1.9
2019-20,21.0,HOU,NBA,C,23.0,2.0,11.6,1.9,2.9,0.657,0.0,0.2,0.0,1.9,2.7,0.71,0.657,0.8,1.2,0.679,1.3,2.7,3.9,0.8,0.4,0.5,0.7,1.8,4.7
2020-21,22.0,TOT,NBA,C,46.0,2.0,12.2,2.0,3.7,0.55,0.0,0.1,0.333,2.0,3.6,0.558,0.556,1.0,1.5,0.648,1.4,2.5,3.9,1.2,0.4,0.8,1.0,2.3,5.1
2020-21,22.0,DEN,NBA,C,30.0,0.0,9.1,1.4,2.7,0.513,0.0,0.0,,1.4,2.7,0.513,0.513,0.7,1.2,0.611,1.3,1.5,2.8,0.5,0.4,0.7,0.7,2.0,3.5
2020-21,22.0,CLE,NBA,C,16.0,2.0,17.9,3.3,5.7,0.582,0.1,0.4,0.333,3.2,5.3,0.6,0.593,1.5,2.2,0.686,1.6,4.4,6.0,2.5,0.5,1.2,1.4,2.8,8.3
2021-22,23.0,LAC,NBA,C,7.0,0.0,16.0,2.6,4.3,0.6,0.0,0.1,0.0,2.6,4.1,0.621,0.6,0.6,1.3,0.444,1.7,3.9,5.6,1.1,1.0,1.0,0.9,3.1,5.7
Career,,,NBA,,104.0,4.0,11.1,1.7,3.0,0.57,0.0,0.2,0.222,1.7,2.8,0.591,0.576,0.8,1.2,0.656,1.2,2.2,3.4,0.9,0.4,0.7,0.8,2.1,4.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,HOU,NBA,,51.0,2.0,9.5,1.3,2.1,0.593,0.0,0.2,0.182,1.2,1.9,0.639,0.602,0.6,0.8,0.714,1.0,1.7,2.7,0.6,0.3,0.5,0.6,1.9,3.1
1 season,,DEN,NBA,,30.0,0.0,9.1,1.4,2.7,0.513,0.0,0.0,,1.4,2.7,0.513,0.513,0.7,1.2,0.611,1.3,1.5,2.8,0.5,0.4,0.7,0.7,2.0,3.5
1 season,,CLE,NBA,,16.0,2.0,17.9,3.3,5.7,0.582,0.1,0.4,0.333,3.2,5.3,0.6,0.593,1.5,2.2,0.686,1.6,4.4,6.0,2.5,0.5,1.2,1.4,2.8,8.3
1 season,,LAC,NBA,,7.0,0.0,16.0,2.6,4.3,0.6,0.0,0.1,0.0,2.6,4.1,0.621,0.6,0.6,1.3,0.444,1.7,3.9,5.6,1.1,1.0,1.0,0.9,3.1,5.7
