,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2014-15,21.0,PHI,NBA,SF,74.0,32.0,15.3,2.0,4.7,0.422,0.4,1.7,0.244,1.6,3.0,0.525,0.467,0.9,1.3,0.67,0.5,1.7,2.2,1.0,0.5,0.4,1.0,1.8,5.2
1,2015-16,22.0,TOT,NBA,SF,73.0,40.0,15.9,1.9,4.3,0.442,0.2,0.9,0.222,1.7,3.5,0.496,0.464,1.1,1.7,0.656,0.6,2.0,2.6,0.6,0.3,0.5,1.0,1.9,5.1
2,2015-16,22.0,PHI,NBA,SF,47.0,18.0,14.7,1.8,4.3,0.426,0.1,0.7,0.176,1.7,3.6,0.476,0.441,1.3,2.1,0.639,0.6,2.1,2.7,0.6,0.2,0.3,1.1,1.9,5.1
3,2015-16,22.0,DEN,NBA,SF,26.0,22.0,18.0,2.1,4.4,0.47,0.3,1.1,0.276,1.8,3.3,0.535,0.504,0.7,1.0,0.72,0.6,1.7,2.3,0.6,0.5,0.7,0.7,2.0,5.2
4,2017-18,24.0,SAC,NBA,SF,22.0,6.0,15.6,2.0,3.7,0.543,0.2,0.5,0.5,1.8,3.2,0.549,0.574,0.5,0.7,0.625,1.0,2.6,3.5,0.4,0.4,1.0,0.4,2.2,4.7
5,2018-19,25.0,CHI,NBA,SF,4.0,0.0,31.8,7.3,13.5,0.537,1.3,3.5,0.357,6.0,10.0,0.6,0.583,4.3,5.3,0.81,1.3,6.8,8.0,1.0,1.0,0.8,1.0,2.0,20.0
6,2019-20,26.0,IND,NBA,PF,34.0,12.0,13.9,2.0,3.4,0.591,0.1,0.4,0.154,1.9,3.0,0.647,0.6,0.5,0.8,0.667,0.6,2.0,2.6,0.6,0.5,0.4,0.4,1.9,4.6
7,2020-21,27.0,IND,NBA,PF,29.0,4.0,10.9,1.9,3.9,0.496,0.1,0.5,0.2,1.8,3.4,0.541,0.509,0.7,1.0,0.655,0.9,1.7,2.7,0.1,0.1,0.5,0.5,1.8,4.6
8,Career,,,NBA,,236.0,94.0,15.0,2.0,4.3,0.471,0.3,1.0,0.248,1.8,3.3,0.54,0.5,0.9,1.3,0.67,0.7,2.0,2.7,0.7,0.4,0.5,0.8,1.9,5.2
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2 seasons,,PHI,NBA,,121.0,50.0,15.1,1.9,4.5,0.423,0.3,1.3,0.23,1.6,3.2,0.504,0.457,1.0,1.6,0.654,0.5,1.9,2.4,0.9,0.4,0.3,1.0,1.9,5.2
11,2 seasons,,IND,NBA,,63.0,16.0,12.5,2.0,3.6,0.544,0.1,0.4,0.179,1.9,3.2,0.595,0.555,0.6,0.9,0.661,0.7,1.9,2.6,0.4,0.3,0.4,0.5,1.8,4.6
12,1 season,,DEN,NBA,,26.0,22.0,18.0,2.1,4.4,0.47,0.3,1.1,0.276,1.8,3.3,0.535,0.504,0.7,1.0,0.72,0.6,1.7,2.3,0.6,0.5,0.7,0.7,2.0,5.2
13,1 season,,SAC,NBA,,22.0,6.0,15.6,2.0,3.7,0.543,0.2,0.5,0.5,1.8,3.2,0.549,0.574,0.5,0.7,0.625,1.0,2.6,3.5,0.4,0.4,1.0,0.4,2.2,4.7
14,1 season,,CHI,NBA,,4.0,0.0,31.8,7.3,13.5,0.537,1.3,3.5,0.357,6.0,10.0,0.6,0.583,4.3,5.3,0.81,1.3,6.8,8.0,1.0,1.0,0.8,1.0,2.0,20.0
