Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018-19,19.0,DEN,NBA,PF,17.0,69.0,12.4,0.513,0.053,0.526,10.9,25.2,18.0,5.9,4.3,1.3,25.5,19.4,-0.1,0.1,0.1,0.037,-5.2,1.0,-4.2,0.0
2019-20,20.0,TOT,NBA,PF,11.0,46.0,7.6,0.676,0.125,0.25,7.3,14.5,10.9,5.9,3.2,2.0,44.1,14.9,-0.1,0.1,0.0,-0.026,-6.6,0.5,-6.0,-0.1
2019-20,20.0,DEN,NBA,PF,9.0,41.0,7.2,0.714,0.0,0.0,8.2,13.6,10.9,6.6,3.6,2.3,50.0,14.8,-0.1,0.1,0.0,-0.042,-7.0,0.9,-6.1,0.0
2019-20,20.0,MIN,NBA,PF,2.0,5.0,11.1,0.532,1.0,2.0,0.0,21.9,10.6,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.104,-2.8,-2.8,-5.6,0.0
2020-21,21.0,MIN,NBA,PF,64.0,1139.0,16.2,0.612,0.021,0.432,10.8,24.7,17.5,9.3,2.7,3.5,15.9,12.3,1.6,1.5,3.1,0.132,-1.6,1.0,-0.6,0.4
2021-22,22.0,MIN,NBA,PF,24.0,556.0,15.9,0.581,0.066,0.274,13.4,24.3,18.5,7.1,2.9,3.1,17.4,10.8,0.9,1.0,1.8,0.159,-1.5,1.3,-0.2,0.3
Career,,,NBA,,116.0,1810.0,15.8,0.6,0.038,0.388,11.5,24.3,17.7,8.4,2.8,3.3,17.7,12.2,2.3,2.7,5.0,0.133,-1.8,1.1,-0.7,0.6
,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIN,NBA,,90.0,1700.0,16.1,0.603,0.038,0.388,11.6,24.6,17.8,8.6,2.7,3.4,16.3,11.8,2.5,2.5,5.0,0.141,-1.5,1.1,-0.5,0.7
2 seasons,,DEN,NBA,,26.0,110.0,10.4,0.559,0.038,0.385,9.9,20.9,15.4,6.1,4.0,1.6,33.0,17.7,-0.2,0.2,0.0,0.008,-5.9,0.9,-4.9,-0.1
