Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,19.0,DEN,NBA,PF,17.0,0.0,4.1,0.5,1.1,0.474,0.0,0.1,0.0,0.5,1.1,0.5,0.474,0.4,0.6,0.6,0.4,0.9,1.4,0.2,0.4,0.1,0.5,0.5,1.4
2019-20,20.0,TOT,NBA,PF,11.0,0.0,4.2,0.5,0.7,0.625,0.0,0.1,0.0,0.5,0.6,0.714,0.625,0.2,0.2,1.0,0.3,0.5,0.8,0.2,0.3,0.1,0.6,0.5,1.1
2019-20,20.0,DEN,NBA,PF,9.0,0.0,4.6,0.6,0.8,0.714,0.0,0.0,,0.6,0.8,0.714,0.714,0.0,0.0,,0.3,0.6,0.9,0.2,0.3,0.1,0.8,0.7,1.1
2019-20,20.0,MIN,NBA,PF,2.0,0.0,2.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0
2020-21,21.0,MIN,NBA,PF,64.0,30.0,17.8,2.2,3.7,0.606,0.0,0.1,0.2,2.2,3.6,0.615,0.608,0.9,1.6,0.559,1.8,3.9,5.8,1.2,1.0,0.7,0.8,1.9,5.4
2021-22,22.0,MIN,NBA,PF,16.0,9.0,20.3,2.1,3.9,0.524,0.0,0.3,0.0,2.1,3.6,0.569,0.524,0.9,1.0,0.875,2.5,4.1,6.6,1.1,1.2,0.8,1.1,2.8,5.0
Career,,,NBA,,108.0,39.0,14.6,1.8,3.0,0.583,0.0,0.1,0.083,1.8,2.9,0.602,0.584,0.7,1.2,0.608,1.6,3.1,4.7,0.9,0.9,0.6,0.8,1.7,4.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIN,NBA,,82.0,39.0,17.9,2.1,3.7,0.587,0.0,0.1,0.091,2.1,3.5,0.606,0.588,0.9,1.5,0.608,1.9,3.9,5.8,1.1,1.0,0.7,0.9,2.0,5.2
2 seasons,,DEN,NBA,,26.0,0.0,4.2,0.5,1.0,0.538,0.0,0.0,0.0,0.5,1.0,0.56,0.538,0.2,0.4,0.6,0.4,0.8,1.2,0.2,0.3,0.1,0.6,0.5,1.3
