Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,20.0,PHI,NBA,SF,65.0,11.0,21.2,1.9,5.4,0.352,0.8,2.4,0.314,1.2,3.0,0.383,0.422,1.8,3.0,0.591,0.8,2.3,3.0,1.2,0.6,1.0,1.3,2.2,6.3
2015-16,21.0,PHI,NBA,PF,77.0,52.0,26.8,3.3,7.8,0.419,0.5,1.9,0.24,2.8,5.9,0.477,0.448,2.8,4.2,0.658,1.3,3.4,4.7,1.8,0.7,1.6,1.4,2.8,9.7
2016-17,22.0,TOT,NBA,PF,80.0,4.0,19.1,1.9,4.1,0.463,0.5,1.5,0.371,1.4,2.7,0.514,0.529,1.1,1.8,0.612,0.5,2.1,2.6,0.6,0.4,1.0,0.6,1.9,5.5
2016-17,22.0,PHI,NBA,PF,2.0,0.0,20.5,3.0,8.5,0.353,0.0,1.0,0.0,3.0,7.5,0.4,0.353,2.0,4.0,0.5,0.0,3.0,3.0,0.0,0.0,2.0,1.5,2.5,8.0
2016-17,22.0,OKC,NBA,PF,78.0,4.0,19.1,1.9,4.0,0.469,0.6,1.5,0.377,1.3,2.5,0.523,0.539,1.1,1.8,0.619,0.5,2.1,2.6,0.6,0.4,1.0,0.5,1.8,5.4
2017-18,23.0,OKC,NBA,PF,81.0,1.0,20.3,3.0,5.6,0.535,0.4,1.4,0.291,2.6,4.3,0.613,0.57,2.0,3.0,0.675,1.1,2.9,3.9,0.7,0.4,1.0,0.7,1.9,8.4
2018-19,24.0,OKC,NBA,PF,80.0,77.0,32.7,5.1,10.3,0.497,1.4,3.7,0.392,3.7,6.6,0.555,0.567,2.0,2.8,0.71,1.2,4.0,5.2,1.0,0.8,1.3,0.8,2.7,13.6
2019-20,25.0,DEN,NBA,PF,71.0,24.0,26.6,4.3,8.9,0.478,1.4,3.5,0.389,2.9,5.4,0.537,0.555,2.1,2.8,0.75,0.8,2.7,3.5,1.2,0.7,0.8,0.9,2.2,12.0
2020-21,26.0,DET,NBA,SF,54.0,54.0,33.9,7.4,17.3,0.429,2.1,6.1,0.35,5.3,11.2,0.473,0.491,5.4,6.4,0.845,0.6,4.0,4.6,2.8,0.6,1.1,2.0,2.3,22.3
2021-22,27.0,DET,NBA,PF,9.0,9.0,33.1,6.4,15.9,0.406,1.8,5.7,0.314,4.7,10.2,0.457,0.462,4.0,5.0,0.8,1.1,3.9,5.0,2.6,1.2,1.3,2.2,1.9,18.7
Career,,,NBA,,517.0,232.0,25.6,3.8,8.3,0.455,1.0,2.8,0.346,2.8,5.4,0.511,0.514,2.3,3.3,0.708,0.9,3.0,4.0,1.3,0.6,1.1,1.1,2.3,10.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,OKC,NBA,,239.0,82.0,24.1,3.3,6.7,0.503,0.8,2.2,0.368,2.5,4.5,0.568,0.562,1.7,2.5,0.675,0.9,3.0,3.9,0.8,0.5,1.1,0.7,2.1,9.2
3 seasons,,PHI,NBA,,144.0,63.0,24.2,2.6,6.7,0.394,0.6,2.1,0.276,2.1,4.6,0.447,0.437,2.3,3.6,0.631,1.0,2.9,3.9,1.5,0.7,1.4,1.4,2.5,8.2
1 season,,DEN,NBA,,71.0,24.0,26.6,4.3,8.9,0.478,1.4,3.5,0.389,2.9,5.4,0.537,0.555,2.1,2.8,0.75,0.8,2.7,3.5,1.2,0.7,0.8,0.9,2.2,12.0
2 seasons,,DET,NBA,,63.0,63.0,33.8,7.3,17.1,0.426,2.1,6.0,0.345,5.2,11.0,0.471,0.487,5.2,6.2,0.84,0.7,4.0,4.7,2.8,0.7,1.1,2.0,2.3,21.8
