Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2012-13,20.0,OKC,NBA,SF,23.0,147.0,11.2,0.479,0.441,0.206,4.2,9.4,7.0,5.4,0.7,1.0,7.5,24.8,0.1,0.1,0.2,0.058,-2.7,-2.7,-5.4,-0.1
2013-14,21.0,OKC,NBA,SG,78.0,1538.0,13.4,0.522,0.406,0.105,2.1,11.3,6.9,11.8,1.8,1.4,8.7,20.1,1.4,1.8,3.3,0.102,-0.1,0.2,0.1,0.8
2014-15,22.0,OKC,NBA,SG,47.0,633.0,14.9,0.538,0.444,0.22,1.4,16.5,9.1,10.9,1.7,0.7,9.0,20.5,1.0,0.7,1.6,0.123,0.9,0.8,1.6,0.6
2015-16,23.0,CHO,NBA,SG,66.0,1227.0,15.9,0.529,0.355,0.173,3.9,18.7,11.2,10.9,1.7,2.0,8.4,22.0,1.0,1.8,2.7,0.107,0.1,0.7,0.8,0.9
2016-17,24.0,CHO,NBA,SG,62.0,1143.0,17.0,0.55,0.297,0.263,2.9,22.6,12.7,11.3,1.2,1.8,6.8,23.2,1.4,1.3,2.7,0.115,0.5,0.1,0.5,0.7
2017-18,25.0,CHO,NBA,SG,80.0,1967.0,17.0,0.559,0.305,0.25,2.7,15.4,8.9,15.4,1.5,1.4,9.1,22.4,3.0,1.9,4.9,0.12,1.3,0.2,1.6,1.8
2018-19,26.0,CHO,NBA,SG,79.0,2250.0,17.3,0.552,0.337,0.266,3.1,18.1,10.4,11.9,1.9,1.2,6.8,22.5,3.3,2.0,5.3,0.113,1.2,0.0,1.2,1.8
2019-20,27.0,IND,NBA,SG,46.0,1291.0,14.0,0.547,0.33,0.23,2.1,14.8,8.5,10.5,2.1,1.5,8.7,19.6,0.9,1.8,2.7,0.099,-1.1,0.8,-0.4,0.5
2020-21,28.0,IND,NBA,SG,36.0,765.0,15.8,0.587,0.464,0.272,3.6,14.9,9.3,9.4,2.1,2.4,6.6,18.4,1.2,0.9,2.1,0.132,0.9,0.4,1.3,0.6
2021-22,29.0,IND,NBA,SF,9.0,148.0,14.3,0.564,0.508,0.254,1.5,13.6,7.8,7.8,1.3,1.7,8.4,21.0,0.2,0.1,0.3,0.109,1.5,-0.6,1.0,0.1
Career,,,NBA,,526.0,11109.0,15.8,0.547,0.355,0.224,2.7,16.3,9.5,11.8,1.7,1.5,8.0,21.4,13.4,12.4,25.9,0.112,0.5,0.3,0.8,7.7
,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,CHO,NBA,,287.0,6587.0,16.9,0.55,0.324,0.244,3.1,18.2,10.5,12.7,1.6,1.5,7.8,22.5,8.7,7.0,15.7,0.114,0.9,0.2,1.1,5.2
3 seasons,,OKC,NBA,,148.0,2318.0,13.7,0.523,0.419,0.143,2.0,12.6,7.5,11.1,1.7,1.2,8.7,20.5,2.5,2.6,5.1,0.105,0.0,0.2,0.2,1.3
3 seasons,,IND,NBA,,91.0,2204.0,14.6,0.562,0.388,0.246,2.5,14.8,8.7,10.0,2.0,1.8,8.0,19.3,2.3,2.8,5.1,0.111,-0.3,0.6,0.3,1.3
