,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2014-15,23.0,CLE,NBA,SG,51.0,1.0,9.7,0.9,2.4,0.4,0.6,1.6,0.369,0.3,0.7,0.472,0.529,0.2,0.3,0.6,0.1,0.7,0.8,0.5,0.1,0.0,0.5,1.2,2.7
1,2015-16,24.0,CLE,NBA,SG,5.0,0.0,3.0,0.2,0.8,0.25,0.2,0.8,0.25,0.0,0.0,,0.375,0.0,0.0,,0.0,0.6,0.6,0.4,0.0,0.0,0.2,0.2,0.6
2,2016-17,25.0,BRK,NBA,SG,52.0,11.0,21.9,3.0,7.0,0.425,1.6,4.3,0.385,1.3,2.7,0.489,0.543,0.7,0.9,0.714,0.3,2.5,2.8,1.0,0.6,0.2,1.1,2.3,8.2
3,2017-18,26.0,BRK,NBA,SG,78.0,14.0,25.3,3.9,8.0,0.491,1.9,4.6,0.419,2.0,3.4,0.589,0.612,1.1,1.3,0.827,0.7,2.7,3.3,1.6,0.4,0.3,1.2,2.0,10.8
4,2018-19,27.0,BRK,NBA,SG,76.0,76.0,30.2,4.9,9.8,0.5,2.4,5.1,0.474,2.5,4.8,0.528,0.622,1.4,1.8,0.827,0.7,3.1,3.8,2.4,0.5,0.2,1.6,2.4,13.7
5,2019-20,28.0,BRK,NBA,SF,69.0,69.0,30.8,5.5,11.4,0.486,2.5,5.9,0.424,3.0,5.5,0.553,0.596,0.9,1.3,0.719,0.9,3.4,4.3,2.1,0.6,0.2,1.5,2.3,14.5
6,2020-21,29.0,BRK,NBA,SF,69.0,65.0,31.0,5.2,10.2,0.505,3.1,6.4,0.475,2.1,3.8,0.555,0.654,0.7,0.9,0.778,0.6,3.0,3.6,1.9,0.7,0.2,0.9,2.0,14.1
7,2021-22,30.0,BRK,NBA,SF,4.0,4.0,30.5,3.5,10.3,0.341,2.5,7.3,0.345,1.0,3.0,0.333,0.463,0.8,1.0,0.75,0.8,4.0,4.8,1.3,0.5,0.0,2.0,2.5,10.3
8,Career,,,NBA,,404.0,240.0,25.5,4.0,8.4,0.482,2.1,4.8,0.436,2.0,3.6,0.544,0.607,0.9,1.1,0.779,0.6,2.7,3.2,1.7,0.5,0.2,1.2,2.1,11.1
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6 seasons,,BRK,NBA,,348.0,239.0,28.1,4.6,9.4,0.486,2.3,5.3,0.44,2.2,4.1,0.545,0.61,1.0,1.3,0.785,0.7,3.0,3.6,1.8,0.6,0.2,1.3,2.2,12.4
11,2 seasons,,CLE,NBA,,56.0,1.0,9.1,0.9,2.2,0.395,0.6,1.6,0.364,0.3,0.6,0.472,0.524,0.2,0.3,0.6,0.1,0.7,0.8,0.5,0.1,0.0,0.5,1.1,2.5
