Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,20.0,TOR,NBA,C,62.0,57.0,23.9,3.3,5.9,0.557,0.0,0.0,,3.3,5.9,0.557,0.557,2.4,3.0,0.789,2.0,4.0,6.0,0.7,0.3,1.3,1.5,3.0,8.9
2013-14,21.0,TOR,NBA,C,81.0,81.0,28.2,4.4,8.3,0.531,0.0,0.0,0.0,4.4,8.3,0.532,0.531,2.4,3.2,0.762,2.8,6.0,8.8,0.7,0.3,0.9,1.7,3.1,11.3
2014-15,22.0,TOR,NBA,C,80.0,80.0,26.2,4.7,8.2,0.572,0.0,0.0,0.0,4.7,8.1,0.573,0.572,2.7,3.5,0.786,2.7,6.0,8.7,0.5,0.4,1.2,1.4,2.8,12.0
2015-16,23.0,TOR,NBA,C,60.0,59.0,26.0,5.1,8.9,0.565,0.0,0.0,,5.1,8.9,0.565,0.565,2.7,3.6,0.761,3.1,6.1,9.1,0.7,0.4,1.3,1.4,2.6,12.8
2016-17,24.0,TOR,NBA,C,80.0,80.0,25.8,4.9,8.8,0.557,0.0,0.0,0.5,4.9,8.8,0.557,0.558,2.2,2.7,0.811,2.8,6.7,9.5,0.7,0.5,0.8,1.3,2.7,12.0
2017-18,25.0,TOR,NBA,C,77.0,77.0,22.4,5.1,8.9,0.568,0.4,1.0,0.405,4.7,8.0,0.587,0.59,2.2,2.7,0.806,2.4,6.2,8.6,1.1,0.4,0.9,1.5,2.5,12.7
2018-19,26.0,TOT,NBA,C,49.0,27.0,22.3,6.1,11.0,0.559,0.3,1.0,0.292,5.9,10.0,0.586,0.572,3.0,3.8,0.795,2.2,6.4,8.6,1.4,0.4,1.1,1.8,3.0,15.6
2018-19,26.0,TOR,NBA,C,30.0,10.0,18.8,5.0,8.6,0.575,0.3,1.0,0.3,4.7,7.6,0.611,0.593,2.6,3.1,0.819,1.8,5.4,7.2,1.0,0.4,0.8,1.3,2.7,12.8
2018-19,26.0,MEM,NBA,C,19.0,17.0,27.7,8.0,14.7,0.545,0.3,0.9,0.278,7.7,13.7,0.563,0.554,3.7,4.8,0.769,2.7,7.9,10.7,2.2,0.3,1.6,2.7,3.4,19.9
2019-20,27.0,MEM,NBA,C,70.0,70.0,26.4,6.2,10.6,0.585,0.5,1.3,0.352,5.7,9.3,0.617,0.606,2.1,2.9,0.74,3.0,8.2,11.3,1.9,0.4,1.1,1.8,2.6,14.9
2020-21,28.0,MEM,NBA,C,62.0,61.0,28.3,7.1,12.0,0.592,0.3,0.9,0.368,6.8,11.1,0.611,0.606,2.5,3.3,0.773,4.1,8.4,12.5,1.8,0.6,0.9,1.6,2.9,17.1
2021-22,29.0,NOP,NBA,C,11.0,11.0,33.5,7.5,14.5,0.513,1.0,1.7,0.579,6.5,12.8,0.504,0.547,3.6,4.1,0.889,3.8,10.1,13.9,2.7,0.7,0.9,2.4,3.1,19.5
Career,,,NBA,,632.0,603.0,25.7,5.2,9.2,0.565,0.2,0.5,0.372,5.0,8.7,0.575,0.574,2.5,3.2,0.782,2.8,6.5,9.3,1.1,0.4,1.0,1.6,2.8,13.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,TOR,NBA,,470.0,444.0,25.1,4.6,8.3,0.559,0.1,0.2,0.37,4.5,8.0,0.565,0.564,2.4,3.1,0.787,2.6,5.9,8.4,0.7,0.4,1.0,1.5,2.8,11.8
3 seasons,,MEM,NBA,,151.0,148.0,27.3,6.8,11.7,0.581,0.4,1.1,0.349,6.4,10.6,0.606,0.598,2.5,3.3,0.759,3.4,8.3,11.7,1.9,0.5,1.1,1.8,2.8,16.4
1 season,,NOP,NBA,,11.0,11.0,33.5,7.5,14.5,0.513,1.0,1.7,0.579,6.5,12.8,0.504,0.547,3.6,4.1,0.889,3.8,10.1,13.9,2.7,0.7,0.9,2.4,3.1,19.5
