,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,2015-16,22.0,MIA,NBA,SG,52.0,1107.0,11.4,0.569,0.423,0.232,2.2,8.5,5.5,9.7,1.7,1.7,10.5,13.8,1.3,1.2,2.5,0.109,-1.1,0.7,-0.4,0.5
1,2016-17,23.0,MIA,NBA,SG,53.0,1614.0,10.7,0.493,0.442,0.15,2.4,9.2,5.8,12.7,1.9,1.9,10.6,16.8,0.3,1.9,2.2,0.066,-2.0,0.9,-1.1,0.4
2,2017-18,24.0,MIA,NBA,SF,81.0,2689.0,13.6,0.551,0.38,0.16,2.9,9.0,6.0,13.2,2.3,2.4,12.9,18.2,1.8,3.5,5.4,0.096,-0.6,1.3,0.7,1.8
3,2018-19,25.0,MIA,NBA,SG,73.0,2539.0,14.0,0.536,0.448,0.225,2.3,8.8,5.5,17.9,1.5,1.2,9.1,20.9,3.0,2.6,5.6,0.106,0.1,0.2,0.3,1.5
4,2019-20,26.0,PHI,NBA,SG,55.0,1693.0,12.0,0.533,0.385,0.218,2.7,8.7,5.7,13.9,1.5,1.8,12.8,20.6,0.5,1.7,2.1,0.061,-1.4,-0.4,-1.8,0.1
5,2020-21,27.0,DAL,NBA,SG,59.0,1790.0,11.9,0.537,0.432,0.175,3.2,8.8,6.0,12.1,1.7,1.2,10.6,18.4,1.0,1.4,2.4,0.066,-1.5,-0.6,-2.1,0.0
6,Career,,,NBA,,373.0,11432.0,12.5,0.536,0.418,0.192,2.6,8.9,5.7,13.7,1.8,1.7,11.1,18.6,7.9,12.4,20.3,0.085,-0.9,0.4,-0.6,4.1
7,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4 seasons,,MIA,NBA,,259.0,7949.0,12.8,0.536,0.422,0.19,2.5,8.9,5.7,14.1,1.9,1.8,10.8,18.2,6.5,9.3,15.7,0.095,-0.7,0.8,0.0,4.1
9,1 season,,DAL,NBA,,59.0,1790.0,11.9,0.537,0.432,0.175,3.2,8.8,6.0,12.1,1.7,1.2,10.6,18.4,1.0,1.4,2.4,0.066,-1.5,-0.6,-2.1,0.0
10,1 season,,PHI,NBA,,55.0,1693.0,12.0,0.533,0.385,0.218,2.7,8.7,5.7,13.9,1.5,1.8,12.8,20.6,0.5,1.7,2.1,0.061,-1.4,-0.4,-1.8,0.1
