Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2009-10,19.0,PHI,NBA,PG,73.0,1767.0,12.3,0.526,0.306,0.165,3.7,9.1,6.4,24.4,2.3,0.8,21.9,18.4,0.2,1.0,1.2,0.032,-1.1,-0.6,-1.7,0.1
2010-11,20.0,PHI,NBA,PG,82.0,2901.0,15.4,0.525,0.222,0.209,2.7,10.5,6.6,29.0,2.2,0.8,16.7,20.8,2.2,3.5,5.7,0.094,0.4,0.4,0.8,2.0
2011-12,21.0,PHI,NBA,PG,65.0,2196.0,14.7,0.496,0.205,0.144,2.9,7.9,5.4,21.6,2.5,0.6,13.2,21.8,0.9,3.3,4.2,0.092,-0.5,0.9,0.4,1.3
2012-13,22.0,PHI,NBA,PG,78.0,2926.0,16.7,0.496,0.192,0.188,3.3,9.5,6.4,36.5,2.2,0.9,17.3,26.6,0.6,2.7,3.3,0.055,1.2,-0.7,0.5,1.9
2013-14,23.0,NOP,NBA,PG,34.0,1143.0,17.1,0.505,0.17,0.139,2.8,11.8,7.2,38.9,2.6,0.9,17.9,23.3,0.8,0.7,1.5,0.064,1.2,-0.9,0.4,0.7
2014-15,24.0,NOP,NBA,PG,40.0,1303.0,18.8,0.522,0.253,0.142,2.8,9.0,5.9,34.9,2.5,1.3,13.8,23.1,2.3,1.1,3.4,0.124,2.5,0.3,2.8,1.6
2015-16,25.0,NOP,NBA,PG,65.0,1831.0,19.7,0.529,0.277,0.231,1.6,10.5,5.9,37.3,2.4,1.0,14.0,28.9,2.2,1.2,3.4,0.089,2.7,-0.6,2.1,1.9
2016-17,26.0,NOP,NBA,PG,67.0,2190.0,17.1,0.532,0.315,0.188,2.2,10.6,6.4,35.9,2.2,1.6,16.7,23.5,1.3,2.6,3.8,0.084,1.0,0.2,1.3,1.8
2017-18,27.0,NOP,NBA,SG,81.0,2927.0,17.8,0.57,0.286,0.191,2.4,10.8,6.8,24.9,2.0,1.7,13.6,23.1,4.2,2.9,7.1,0.116,1.3,0.3,1.6,2.7
2018-19,28.0,NOP,NBA,SG,67.0,2402.0,19.4,0.555,0.313,0.234,3.3,11.0,7.2,31.8,2.1,1.8,14.1,25.4,3.5,1.9,5.4,0.108,3.1,-0.1,3.0,3.1
2019-20,29.0,NOP,NBA,SG,61.0,2117.0,17.0,0.537,0.344,0.181,3.8,10.9,7.3,29.1,2.2,1.9,14.5,24.5,2.0,1.9,3.9,0.088,1.6,0.2,1.8,2.0
2020-21,30.0,MIL,NBA,PG,59.0,1907.0,20.0,0.592,0.344,0.165,4.2,10.4,7.4,26.3,2.4,1.7,12.6,22.2,4.3,2.2,6.6,0.165,2.8,0.7,3.5,2.6
2021-22,31.0,MIL,NBA,PG,3.0,63.0,17.2,0.713,0.458,0.25,3.3,11.4,7.4,23.9,0.8,0.0,27.3,24.7,0.1,0.0,0.1,0.089,1.2,-3.2,-2.0,0.0
Career,,,NBA,,775.0,25673.0,17.1,0.534,0.272,0.188,3.0,10.2,6.6,30.4,2.3,1.3,15.3,23.5,24.5,25.2,49.6,0.093,1.3,0.0,1.4,21.7
,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,NOP,NBA,,415.0,13913.0,18.1,0.542,0.292,0.195,2.7,10.7,6.7,32.2,2.2,1.6,14.7,24.6,16.2,12.3,28.5,0.098,1.9,0.0,1.9,13.7
4 seasons,,PHI,NBA,,298.0,9790.0,15.1,0.508,0.219,0.18,3.1,9.4,6.2,28.8,2.3,0.8,16.9,22.3,3.8,10.6,14.4,0.071,0.2,0.0,0.2,5.4
2 seasons,,MIL,NBA,,62.0,1970.0,19.9,0.596,0.347,0.168,4.1,10.4,7.4,26.2,2.3,1.7,13.1,22.2,4.4,2.2,6.7,0.163,2.8,0.6,3.3,2.6
