Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,21.0,DEN,NBA,PF,62.0,842.0,13.4,0.592,0.504,0.339,5.7,18.7,12.3,4.7,1.7,1.1,10.7,14.6,1.2,0.6,1.8,0.104,0.1,-0.2,-0.1,0.4
2017-18,22.0,DEN,NBA,PF,25.0,277.0,9.7,0.511,0.667,0.16,7.4,14.6,11.0,5.9,1.1,0.9,10.1,14.0,0.2,0.1,0.4,0.061,-1.6,-1.7,-3.3,-0.1
2018-19,23.0,DEN,NBA,PF,70.0,1358.0,11.0,0.58,0.576,0.274,5.1,16.1,10.6,5.3,1.0,1.6,9.5,12.2,1.6,1.4,3.0,0.105,-0.9,-0.2,-1.1,0.3
2019-20,24.0,TOT,NBA,PF,48.0,833.0,10.4,0.518,0.522,0.287,5.6,20.5,12.8,6.6,1.1,1.0,10.3,15.7,0.2,0.7,0.9,0.052,-2.2,-1.1,-3.4,-0.3
2019-20,24.0,DEN,NBA,PF,34.0,422.0,6.9,0.442,0.545,0.227,6.4,18.8,12.6,6.7,0.6,1.1,12.9,14.3,-0.2,0.3,0.1,0.007,-4.0,-1.2,-5.2,-0.3
2019-20,24.0,MIN,NBA,PF,14.0,411.0,14.1,0.576,0.504,0.336,4.7,22.1,13.1,6.4,1.6,0.8,8.2,17.1,0.5,0.4,0.8,0.098,-0.4,-1.0,-1.5,0.1
2020-21,25.0,MIN,NBA,PF,52.0,900.0,12.1,0.549,0.562,0.324,5.2,20.0,12.3,5.6,1.0,0.7,7.3,17.2,0.6,0.5,1.1,0.06,-1.3,-2.1,-3.3,-0.3
2021-22,26.0,BOS,NBA,PF,5.0,14.0,8.9,0.436,0.5,0.333,14.5,22.9,18.6,0.0,7.0,0.0,30.4,30.8,-0.1,0.0,0.0,-0.142,-6.0,-1.3,-7.3,0.0
Career,,,NBA,,262.0,4224.0,11.5,0.556,0.553,0.295,5.5,18.2,11.8,5.5,1.2,1.1,9.6,14.6,3.8,3.3,7.1,0.081,-1.1,-0.9,-2.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,DEN,NBA,,191.0,2899.0,11.0,0.556,0.559,0.275,5.7,17.1,11.4,5.4,1.2,1.3,10.5,13.4,2.8,2.4,5.2,0.086,-1.1,-0.5,-1.6,0.3
2 seasons,,MIN,NBA,,66.0,1311.0,12.7,0.557,0.544,0.328,5.1,20.7,12.6,5.8,1.2,0.7,7.6,17.2,1.1,0.8,2.0,0.072,-1.0,-1.8,-2.7,-0.2
1 season,,BOS,NBA,,5.0,14.0,8.9,0.436,0.5,0.333,14.5,22.9,18.6,0.0,7.0,0.0,30.4,30.8,-0.1,0.0,0.0,-0.142,-6.0,-1.3,-7.3,0.0
