Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014-15,20.0,LAL,NBA,PF,1.0,14.0,-7.5,0.258,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,20.5,15.5,-0.1,0.0,-0.1,-0.276,-9.6,-5.6,-15.1,0.0
2015-16,21.0,LAL,NBA,PF,81.0,2286.0,13.9,0.482,0.043,0.323,7.8,32.0,19.5,11.0,1.2,1.0,13.5,21.2,-0.3,1.9,1.6,0.035,-1.9,-1.3,-3.2,-0.7
2016-17,22.0,LAL,NBA,PF,74.0,2132.0,16.3,0.543,0.082,0.365,7.4,25.8,16.3,19.3,1.1,1.4,16.2,21.4,2.0,1.5,3.5,0.08,-0.6,-0.3,-0.9,0.6
2017-18,23.0,LAL,NBA,C,82.0,2190.0,19.9,0.606,0.05,0.47,8.9,22.8,15.9,15.8,0.9,1.7,16.3,25.3,4.0,2.6,6.6,0.145,0.6,0.0,0.6,1.4
2018-19,24.0,NOP,NBA,PF,73.0,2232.0,21.0,0.6,0.179,0.447,7.6,21.6,14.7,15.8,1.1,1.6,13.8,27.8,4.2,1.9,6.1,0.131,2.1,-0.6,1.5,2.0
2019-20,25.0,NYK,NBA,PF,64.0,2080.0,17.5,0.538,0.23,0.35,7.5,24.9,16.0,15.8,1.2,1.0,14.3,27.6,0.9,1.8,2.7,0.062,0.7,-1.0,-0.3,0.9
2020-21,26.0,NYK,NBA,PF,71.0,2667.0,19.7,0.567,0.294,0.325,3.5,25.7,14.7,27.2,1.2,0.6,13.8,29.3,3.4,4.3,7.8,0.14,3.0,0.7,3.7,3.8
2021-22,27.0,NYK,NBA,PF,9.0,331.0,21.2,0.542,0.325,0.357,7.3,25.4,16.3,24.6,0.9,3.0,13.8,27.6,0.7,0.3,1.1,0.154,2.3,-0.1,2.2,0.3
Career,,,NBA,,455.0,13932.0,18.1,0.559,0.166,0.378,7.0,25.5,16.1,17.9,1.1,1.3,14.5,25.6,15.1,14.3,29.3,0.101,0.7,-0.4,0.4,8.3
,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,LAL,NBA,,238.0,6622.0,16.6,0.546,0.057,0.389,8.0,26.9,17.2,15.2,1.1,1.4,15.4,22.6,5.7,6.0,11.7,0.085,-0.7,-0.5,-1.2,1.3
3 seasons,,NYK,NBA,,144.0,5078.0,18.9,0.553,0.27,0.337,5.4,25.3,15.3,22.3,1.2,0.9,14.0,28.5,5.1,6.4,11.5,0.109,2.0,0.0,1.9,5.0
1 season,,NOP,NBA,,73.0,2232.0,21.0,0.6,0.179,0.447,7.6,21.6,14.7,15.8,1.1,1.6,13.8,27.8,4.2,1.9,6.1,0.131,2.1,-0.6,1.5,2.0
