Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2015-16,19.0,MIA,NBA,SF,78.0,2232.0,8.4,0.489,0.251,0.253,4.2,15.8,10.2,7.4,1.6,0.9,15.6,12.5,-0.2,2.7,2.5,0.054,-3.3,0.7,-2.6,-0.3
2016-17,20.0,MIA,NBA,SF,18.0,625.0,8.2,0.399,0.156,0.209,4.0,12.7,8.3,15.5,2.1,0.8,11.8,19.8,-0.9,0.8,-0.1,-0.009,-4.6,0.8,-3.8,-0.3
2017-18,21.0,MIA,NBA,PF,68.0,1680.0,11.5,0.496,0.264,0.213,4.3,20.5,12.4,13.0,1.6,1.7,12.6,16.3,0.2,2.4,2.6,0.075,-2.2,1.1,-1.1,0.4
2018-19,22.0,MIA,NBA,SF,66.0,1959.0,12.8,0.513,0.342,0.183,3.4,15.9,9.6,21.9,1.8,0.9,14.9,20.8,0.2,2.6,2.8,0.067,-1.3,0.7,-0.6,0.7
2019-20,23.0,MIA,NBA,SG,11.0,352.0,8.5,0.44,0.209,0.209,5.3,17.5,11.6,18.7,1.0,1.4,14.6,20.6,-0.4,0.4,0.0,-0.004,-3.5,0.0,-3.5,-0.1
2020-21,24.0,MEM,NBA,SF,26.0,507.0,6.2,0.395,0.257,0.167,3.7,21.1,12.3,13.3,1.4,2.1,14.1,21.9,-1.3,0.6,-0.7,-0.066,-6.2,0.1,-6.1,-0.5
2021-22,25.0,LAC,NBA,SF,9.0,81.0,3.7,0.364,0.179,0.071,5.2,18.8,12.1,14.0,1.8,4.4,27.6,21.2,-0.3,0.2,-0.2,-0.107,-9.6,-0.3,-9.9,-0.2
Career,,,NBA,,276.0,7436.0,10.0,0.477,0.271,0.205,4.0,17.1,10.6,14.2,1.6,1.2,14.4,17.3,-2.7,9.6,6.9,0.044,-2.9,0.7,-2.2,-0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,MIA,NBA,,241.0,6848.0,10.4,0.486,0.274,0.21,4.1,16.8,10.5,14.2,1.7,1.1,14.2,16.9,-1.0,8.8,7.7,0.054,-2.6,0.8,-1.8,0.3
1 season,,MEM,NBA,,26.0,507.0,6.2,0.395,0.257,0.167,3.7,21.1,12.3,13.3,1.4,2.1,14.1,21.9,-1.3,0.6,-0.7,-0.066,-6.2,0.1,-6.1,-0.5
1 season,,LAC,NBA,,9.0,81.0,3.7,0.364,0.179,0.071,5.2,18.8,12.1,14.0,1.8,4.4,27.6,21.2,-0.3,0.2,-0.2,-0.107,-9.6,-0.3,-9.9,-0.2
