Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015-16,19.0,MIA,NBA,SF,78.0,8.0,28.6,2.5,5.9,0.422,0.4,1.5,0.276,2.1,4.4,0.471,0.457,1.0,1.5,0.684,1.0,4.1,5.2,1.5,0.9,0.3,1.2,2.4,6.4
2016-17,20.0,MIA,NBA,SF,18.0,15.0,34.7,4.4,12.5,0.356,0.4,1.9,0.2,4.1,10.6,0.384,0.371,1.6,2.6,0.617,1.3,3.9,5.2,3.7,1.4,0.3,1.8,2.9,10.9
2017-18,21.0,MIA,NBA,PF,68.0,25.0,24.7,3.0,7.2,0.424,0.7,1.9,0.38,2.3,5.3,0.44,0.474,1.0,1.5,0.635,0.9,4.5,5.4,2.2,0.8,0.5,1.1,2.1,7.8
2018-19,22.0,MIA,NBA,SF,66.0,52.0,29.7,4.9,11.3,0.433,1.5,3.9,0.375,3.5,7.5,0.462,0.497,1.3,2.1,0.628,1.0,4.4,5.4,4.3,1.1,0.3,2.2,2.7,12.6
2019-20,23.0,MIA,NBA,SG,11.0,5.0,32.0,4.5,11.7,0.388,0.5,2.5,0.222,4.0,9.3,0.431,0.411,1.6,2.5,0.667,1.5,5.2,6.6,4.0,0.6,0.5,2.2,3.5,11.3
2020-21,24.0,MEM,NBA,SF,26.0,1.0,19.5,2.8,8.1,0.352,0.4,2.1,0.185,2.5,6.0,0.41,0.376,0.8,1.3,0.571,0.7,3.8,4.5,1.9,0.6,0.5,1.4,1.8,6.8
2021-22,25.0,LAC,NBA,SF,7.0,0.0,10.3,1.3,3.7,0.346,0.0,0.7,0.0,1.3,3.0,0.429,0.346,0.1,0.3,0.5,0.6,1.4,2.0,1.1,0.4,0.6,1.3,1.3,2.7
Career,,,NBA,,274.0,106.0,27.1,3.4,8.4,0.41,0.7,2.3,0.322,2.7,6.1,0.443,0.454,1.1,1.7,0.64,1.0,4.2,5.2,2.6,0.9,0.4,1.5,2.4,8.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,MIA,NBA,,241.0,105.0,28.4,3.6,8.5,0.417,0.8,2.3,0.337,2.8,6.2,0.447,0.463,1.2,1.8,0.646,1.0,4.3,5.4,2.7,0.9,0.4,1.5,2.5,9.0
1 season,,MEM,NBA,,26.0,1.0,19.5,2.8,8.1,0.352,0.4,2.1,0.185,2.5,6.0,0.41,0.376,0.8,1.3,0.571,0.7,3.8,4.5,1.9,0.6,0.5,1.4,1.8,6.8
1 season,,LAC,NBA,,7.0,0.0,10.3,1.3,3.7,0.346,0.0,0.7,0.0,1.3,3.0,0.429,0.346,0.1,0.3,0.5,0.6,1.4,2.0,1.1,0.4,0.6,1.3,1.3,2.7
