Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014-15,20.0,DEN,NBA,C,62.0,1103.0,14.8,0.483,0.005,0.345,11.8,26.1,18.7,7.3,2.4,4.8,16.3,20.7,-0.2,1.8,1.6,0.069,-3.7,0.9,-2.8,-0.2
2015-16,21.0,DEN,NBA,C,32.0,547.0,16.0,0.46,0.012,0.409,12.9,22.7,17.7,12.3,2.2,6.5,16.1,27.2,-0.5,0.9,0.4,0.031,-3.6,0.7,-2.9,-0.1
2016-17,22.0,TOT,NBA,C,65.0,1391.0,17.5,0.528,0.002,0.393,12.3,24.8,18.6,13.9,1.8,4.2,18.6,23.9,0.2,1.8,2.0,0.068,-1.4,0.5,-0.9,0.4
2016-17,22.0,DEN,NBA,C,45.0,807.0,15.0,0.515,0.0,0.379,12.3,23.2,17.8,11.1,1.5,3.5,18.9,22.6,-0.2,0.8,0.6,0.034,-2.0,-0.1,-2.1,0.0
2016-17,22.0,POR,NBA,C,20.0,584.0,21.1,0.545,0.004,0.411,12.3,27.1,19.7,17.7,2.1,5.2,18.2,25.7,0.4,1.0,1.4,0.116,-0.4,1.3,0.9,0.4
2017-18,23.0,POR,NBA,C,79.0,2088.0,19.2,0.528,0.007,0.287,10.0,26.9,18.5,11.7,1.5,4.3,14.6,26.4,0.8,3.9,4.7,0.108,-1.1,1.1,0.0,1.1
2018-19,24.0,POR,NBA,C,72.0,1974.0,23.4,0.57,0.035,0.442,13.4,26.7,20.2,17.9,1.7,4.2,14.6,24.7,4.4,3.3,7.8,0.189,2.1,1.7,3.7,2.8
2019-20,25.0,POR,NBA,C,8.0,253.0,22.6,0.567,0.092,0.321,9.6,24.1,16.9,19.1,2.1,5.4,13.2,24.0,0.5,0.3,0.9,0.164,1.0,0.9,2.0,0.2
2020-21,26.0,POR,NBA,C,37.0,880.0,20.5,0.554,0.09,0.339,10.2,30.7,20.2,21.4,2.1,4.0,16.0,22.3,1.2,1.2,2.4,0.133,0.3,1.7,2.0,0.9
2021-22,27.0,POR,NBA,C,15.0,365.0,21.0,0.614,0.102,0.454,10.7,38.1,24.4,12.5,2.7,2.0,19.3,19.0,0.7,0.6,1.3,0.168,0.1,0.9,1.0,0.3
Career,,,NBA,,370.0,8601.0,19.4,0.535,0.027,0.366,11.6,26.9,19.3,14.2,1.9,4.4,15.8,24.1,7.2,13.8,21.0,0.117,-0.6,1.1,0.5,5.3
,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,POR,NBA,,231.0,6144.0,21.2,0.552,0.034,0.364,11.4,27.9,19.7,16.0,1.8,4.2,15.3,24.7,8.1,10.4,18.5,0.144,0.4,1.4,1.7,5.7
3 seasons,,DEN,NBA,,139.0,2457.0,15.1,0.487,0.005,0.373,12.2,24.4,18.2,9.7,2.0,4.8,17.1,22.7,-0.9,3.5,2.5,0.049,-3.1,0.5,-2.6,-0.4
