Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,23.0,MIN,NBA,SF,30.0,3.0,16.8,2.0,4.7,0.423,0.4,1.7,0.25,1.6,3.0,0.522,0.468,0.6,0.9,0.643,0.5,2.2,2.8,0.6,0.6,0.5,0.5,1.0,5.0
2019-20,24.0,TOT,NBA,"PF,SF",44.0,0.0,16.9,2.3,5.3,0.427,0.8,2.3,0.33,1.5,3.0,0.504,0.5,1.2,1.7,0.72,0.6,2.3,2.9,0.7,0.4,0.5,0.4,1.0,6.5
2019-20,24.0,MIN,NBA,PF,37.0,0.0,17.5,2.4,5.6,0.422,0.8,2.5,0.33,1.5,3.0,0.5,0.498,1.2,1.8,0.708,0.6,2.4,3.0,0.8,0.5,0.5,0.4,1.0,6.8
2019-20,24.0,DEN,NBA,SF,7.0,0.0,14.0,1.9,4.0,0.464,0.4,1.3,0.333,1.4,2.7,0.526,0.518,1.1,1.4,0.8,0.6,1.9,2.4,0.0,0.3,0.6,0.4,1.0,5.3
2020-21,25.0,SAS,NBA,SF,30.0,0.0,8.2,1.0,2.2,0.448,0.2,0.6,0.294,0.8,1.7,0.5,0.485,0.5,0.7,0.667,0.3,1.3,1.6,0.4,0.4,0.2,0.2,0.4,2.6
2021-22,26.0,SAS,NBA,SF,15.0,4.0,14.1,1.4,3.1,0.457,0.1,0.7,0.091,1.3,2.3,0.571,0.467,0.4,0.5,0.75,0.7,2.4,3.1,0.3,0.3,0.4,0.6,0.5,3.3
Career,,,NBA,,119.0,7.0,14.3,1.8,4.1,0.431,0.4,1.5,0.29,1.3,2.6,0.516,0.486,0.8,1.1,0.697,0.5,2.1,2.6,0.5,0.4,0.4,0.4,0.8,4.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,MIN,NBA,,67.0,3.0,17.1,2.2,5.2,0.422,0.7,2.2,0.301,1.5,3.0,0.51,0.486,1.0,1.4,0.688,0.6,2.3,2.9,0.7,0.5,0.5,0.4,1.0,6.0
2 seasons,,SAS,NBA,,45.0,4.0,10.1,1.1,2.5,0.451,0.1,0.6,0.214,1.0,1.9,0.529,0.478,0.4,0.6,0.69,0.4,1.7,2.1,0.4,0.4,0.2,0.4,0.4,2.8
1 season,,DEN,NBA,,7.0,0.0,14.0,1.9,4.0,0.464,0.4,1.3,0.333,1.4,2.7,0.526,0.518,1.1,1.4,0.8,0.6,1.9,2.4,0.0,0.3,0.6,0.4,1.0,5.3
