Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2013-14,22.0,BOS,NBA,C,70.0,1400.0,15.2,0.546,0.227,0.243,11.0,18.8,14.8,13.1,1.3,1.5,16.0,21.0,1.5,1.4,2.9,0.101,-0.9,-0.3,-1.2,0.3
2014-15,23.0,BOS,NBA,C,64.0,1423.0,15.9,0.558,0.331,0.258,7.0,16.5,11.7,12.2,2.3,2.1,14.3,21.1,1.5,2.1,3.6,0.12,-0.5,0.9,0.4,0.8
2015-16,24.0,BOS,NBA,C,69.0,1395.0,16.3,0.561,0.378,0.23,5.4,16.2,10.7,11.9,1.8,1.8,10.8,20.9,2.1,2.0,4.1,0.141,1.2,0.8,1.9,1.4
2016-17,25.0,BOS,NBA,C,75.0,1538.0,15.3,0.603,0.378,0.242,5.3,20.7,13.1,15.2,1.4,1.5,14.6,19.0,2.2,1.9,4.1,0.127,-0.3,0.6,0.3,0.9
2017-18,26.0,MIA,NBA,PF,76.0,1779.0,17.8,0.612,0.44,0.274,5.6,21.6,13.6,18.7,1.7,1.7,17.1,21.7,2.8,2.7,5.5,0.148,1.1,1.2,2.3,1.9
2018-19,27.0,MIA,NBA,PF,79.0,1812.0,14.4,0.61,0.566,0.328,4.2,17.8,11.0,11.4,1.4,1.8,15.0,18.0,2.3,2.5,4.7,0.126,-0.2,0.9,0.7,1.2
2019-20,28.0,MIA,NBA,C,67.0,1300.0,14.6,0.621,0.588,0.251,3.9,21.6,13.1,13.3,1.7,1.8,13.8,17.4,1.9,1.8,3.7,0.135,0.0,1.0,1.0,1.0
2020-21,29.0,TOT,NBA,"C,PF",70.0,1997.0,16.4,0.61,0.528,0.251,4.8,22.5,13.6,16.0,1.9,2.1,14.0,19.7,2.5,2.6,5.1,0.121,0.2,0.9,1.1,1.6
2020-21,29.0,MIA,NBA,C,43.0,1157.0,12.1,0.549,0.646,0.106,4.4,21.1,12.9,11.7,1.7,2.4,12.3,17.5,0.3,1.6,1.9,0.078,-1.6,0.7,-0.9,0.3
2020-21,29.0,HOU,NBA,PF,27.0,840.0,22.3,0.674,0.389,0.421,5.2,24.5,14.5,21.9,2.2,1.7,15.7,22.9,2.2,1.0,3.2,0.182,2.6,1.2,3.8,1.2
2021-22,30.0,DET,NBA,C,10.0,230.0,18.9,0.551,0.418,0.357,5.6,20.5,12.4,18.3,3.0,2.8,11.7,23.9,0.2,0.3,0.6,0.116,0.9,1.6,2.5,0.3
Career,,,NBA,,580.0,12874.0,15.8,0.59,0.431,0.263,5.8,19.6,12.7,14.2,1.7,1.8,14.5,19.9,17.0,17.1,34.2,0.127,0.1,0.8,0.9,9.3
,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,BOS,NBA,,278.0,5756.0,15.7,0.567,0.33,0.243,7.1,18.1,12.6,13.2,1.7,1.7,13.9,20.5,7.3,7.3,14.7,0.122,-0.1,0.5,0.3,3.4
4 seasons,,MIA,NBA,,265.0,6048.0,15.0,0.602,0.545,0.253,4.6,20.4,12.6,14.0,1.6,1.9,15.0,18.8,7.2,8.5,15.8,0.125,0.0,1.0,0.9,4.4
1 season,,HOU,NBA,,27.0,840.0,22.3,0.674,0.389,0.421,5.2,24.5,14.5,21.9,2.2,1.7,15.7,22.9,2.2,1.0,3.2,0.182,2.6,1.2,3.8,1.2
1 season,,DET,NBA,,10.0,230.0,18.9,0.551,0.418,0.357,5.6,20.5,12.4,18.3,3.0,2.8,11.7,23.9,0.2,0.3,0.6,0.116,0.9,1.6,2.5,0.3
