Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2015-16,20.0,WAS,NBA,SF,63.0,671.0,8.2,0.507,0.374,0.232,4.1,18.4,11.1,2.8,1.6,0.8,12.8,17.4,-0.3,0.7,0.4,0.031,-4.6,-0.5,-5.1,-0.5
2016-17,21.0,WAS,NBA,SF,79.0,1605.0,9.1,0.516,0.425,0.224,4.3,14.0,9.2,4.0,1.8,0.9,9.3,14.6,0.6,1.5,2.0,0.061,-3.2,0.0,-3.2,-0.5
2017-18,22.0,WAS,NBA,SF,81.0,2231.0,11.9,0.534,0.467,0.295,3.0,15.4,9.2,6.4,1.8,1.4,9.2,19.4,1.4,2.3,3.7,0.08,-1.6,-0.1,-1.7,0.2
2018-19,23.0,TOT,NBA,SF,69.0,1935.0,15.2,0.551,0.401,0.29,4.0,14.6,9.2,6.8,2.1,2.5,9.8,23.2,0.9,1.3,2.2,0.054,-0.3,-0.9,-1.2,0.4
2018-19,23.0,WAS,NBA,SF,29.0,755.0,13.3,0.545,0.433,0.279,3.4,15.3,9.3,3.8,1.7,2.2,8.1,20.9,0.3,0.5,0.8,0.053,-1.4,-1.2,-2.6,-0.1
2018-19,23.0,PHO,NBA,SF,40.0,1180.0,16.4,0.555,0.384,0.296,4.3,14.2,9.2,8.7,2.3,2.8,10.7,24.7,0.5,0.8,1.3,0.054,0.4,-0.8,-0.4,0.5
2019-20,24.0,PHO,NBA,SF,56.0,1933.0,14.9,0.56,0.372,0.298,3.8,17.1,10.4,6.6,1.7,1.8,8.2,22.4,1.7,2.1,3.8,0.093,-0.3,-0.3,-0.5,0.7
2020-21,25.0,GSW,NBA,SF,55.0,1687.0,13.3,0.529,0.394,0.244,5.2,15.4,10.4,6.5,1.6,2.2,8.0,22.1,0.0,2.2,2.2,0.062,-1.5,-0.6,-2.1,-0.1
2021-22,26.0,CHO,NBA,SF,13.0,348.0,15.1,0.557,0.535,0.174,5.7,11.6,8.5,7.3,1.5,0.6,6.7,21.2,0.5,0.0,0.6,0.076,0.8,-2.4,-1.5,0.0
Career,,,NBA,,416.0,10410.0,12.7,0.54,0.413,0.269,4.1,15.4,9.7,6.0,1.8,1.7,9.0,20.3,4.8,10.1,14.8,0.068,-1.5,-0.5,-1.9,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,WAS,NBA,,252.0,5262.0,10.8,0.528,0.439,0.267,3.6,15.3,9.4,4.9,1.7,1.3,9.5,17.9,2.0,5.0,7.0,0.064,-2.4,-0.3,-2.7,-1.0
2 seasons,,PHO,NBA,,96.0,3113.0,15.5,0.558,0.376,0.297,4.0,16.0,9.9,7.4,2.0,2.2,9.2,23.3,2.2,2.9,5.1,0.078,0.0,-0.5,-0.5,1.2
1 season,,GSW,NBA,,55.0,1687.0,13.3,0.529,0.394,0.244,5.2,15.4,10.4,6.5,1.6,2.2,8.0,22.1,0.0,2.2,2.2,0.062,-1.5,-0.6,-2.1,-0.1
1 season,,CHO,NBA,,13.0,348.0,15.1,0.557,0.535,0.174,5.7,11.6,8.5,7.3,1.5,0.6,6.7,21.2,0.5,0.0,0.6,0.076,0.8,-2.4,-1.5,0.0
