Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2011-12,21.0,CHA,NBA,PG,66.0,1792.0,14.9,0.464,0.295,0.278,1.9,13.5,7.5,30.2,1.8,0.8,12.1,25.2,-0.2,0.5,0.3,0.009,0.7,-1.4,-0.8,0.6
2012-13,22.0,CHA,NBA,PG,82.0,2859.0,18.8,0.517,0.267,0.298,2.3,9.2,5.7,31.2,2.9,0.9,12.4,25.6,3.7,1.1,4.8,0.08,2.2,-0.8,1.4,2.4
2013-14,23.0,CHA,NBA,PG,73.0,2614.0,16.8,0.499,0.286,0.295,1.7,11.6,6.6,29.7,1.7,1.0,11.6,25.8,1.8,3.3,5.1,0.093,1.4,0.3,1.7,2.4
2014-15,24.0,CHO,NBA,PG,62.0,2119.0,17.6,0.486,0.285,0.288,1.8,9.9,5.7,27.1,2.2,1.2,8.3,25.9,1.8,2.6,4.5,0.101,1.7,0.6,2.3,2.3
2015-16,25.0,CHO,NBA,PG,81.0,2885.0,20.8,0.554,0.368,0.329,2.1,11.5,6.8,25.7,2.2,1.1,10.1,26.5,6.3,3.6,9.9,0.165,3.5,0.5,4.0,4.3
2016-17,26.0,CHO,NBA,PG,79.0,2739.0,21.3,0.569,0.415,0.248,1.8,10.6,6.2,29.1,1.6,0.7,9.5,29.2,5.9,2.2,8.1,0.142,4.9,-0.8,4.1,4.2
2017-18,27.0,CHO,NBA,PG,80.0,2736.0,20.6,0.572,0.441,0.308,1.2,8.7,4.9,27.4,1.6,0.7,10.4,27.4,6.5,2.0,8.6,0.15,4.7,-0.7,4.0,4.2
2018-19,28.0,CHO,NBA,PG,82.0,2863.0,21.7,0.558,0.434,0.267,1.9,11.9,6.8,29.4,1.7,1.0,10.1,31.5,5.5,1.9,7.4,0.123,5.2,-1.0,4.2,4.4
2019-20,29.0,BOS,NBA,PG,56.0,1742.0,20.0,0.575,0.532,0.272,2.2,11.0,6.7,24.2,1.3,1.5,10.5,27.2,3.9,2.0,5.9,0.162,4.9,-0.3,4.6,2.9
2020-21,30.0,BOS,NBA,PG,43.0,1369.0,17.7,0.559,0.522,0.22,1.3,12.6,6.9,23.8,1.7,0.8,10.6,26.1,2.1,1.1,3.3,0.115,2.5,-0.7,1.8,1.3
2021-22,31.0,NYK,NBA,PG,14.0,355.0,15.8,0.564,0.528,0.118,0.6,9.8,5.2,18.3,2.2,0.8,11.1,21.0,0.5,0.2,0.7,0.1,1.0,-0.1,0.9,0.3
Career,,,NBA,,718.0,24073.0,19.2,0.54,0.385,0.281,1.8,10.9,6.3,27.9,1.9,1.0,10.5,27.1,37.8,20.7,58.5,0.117,3.3,-0.4,2.8,29.4
,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,"CHA,CHO",NBA,,605.0,20607.0,19.3,0.535,0.36,0.288,1.8,10.8,6.2,28.7,2.0,0.9,10.5,27.3,31.3,17.3,48.5,0.113,3.2,-0.4,2.8,24.8
2 seasons,,BOS,NBA,,99.0,3111.0,18.9,0.568,0.528,0.25,1.8,11.7,6.8,24.0,1.5,1.2,10.6,26.7,6.0,3.1,9.2,0.141,3.8,-0.5,3.4,4.3
1 season,,NYK,NBA,,14.0,355.0,15.8,0.564,0.528,0.118,0.6,9.8,5.2,18.3,2.2,0.8,11.1,21.0,0.5,0.2,0.7,0.1,1.0,-0.1,0.9,0.3
