Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,21.0,CHA,NBA,PG,66.0,25.0,27.2,4.3,11.6,0.366,1.0,3.4,0.305,3.2,8.2,0.392,0.411,2.5,3.2,0.789,0.5,3.1,3.5,4.4,0.9,0.3,1.8,1.2,12.1
2012-13,22.0,CHA,NBA,PG,82.0,82.0,34.9,6.4,15.2,0.423,1.3,4.0,0.322,5.1,11.1,0.459,0.466,3.6,4.5,0.798,0.7,2.7,3.5,5.7,2.0,0.4,2.4,1.9,17.7
2013-14,23.0,CHA,NBA,PG,73.0,73.0,35.8,6.2,15.7,0.393,1.5,4.5,0.333,4.7,11.2,0.417,0.441,3.9,4.6,0.837,0.5,3.7,4.2,6.1,1.2,0.4,2.3,1.8,17.7
2014-15,24.0,CHO,NBA,PG,62.0,58.0,34.2,6.1,15.8,0.385,1.4,4.5,0.304,4.7,11.3,0.418,0.429,3.8,4.6,0.827,0.6,3.0,3.5,5.1,1.4,0.5,1.6,1.5,17.3
2015-16,25.0,CHO,NBA,PG,81.0,81.0,35.6,7.0,16.4,0.427,2.2,6.0,0.371,4.8,10.4,0.459,0.495,4.6,5.4,0.847,0.7,3.7,4.4,5.2,1.6,0.5,2.1,1.4,20.9
2016-17,26.0,CHO,NBA,PG,79.0,79.0,34.7,8.1,18.3,0.444,3.0,7.6,0.399,5.1,10.7,0.476,0.527,3.8,4.5,0.847,0.6,3.3,3.9,5.5,1.1,0.3,2.1,1.5,23.2
2017-18,27.0,CHO,NBA,PG,80.0,80.0,34.2,7.4,17.0,0.431,2.9,7.5,0.384,4.5,9.5,0.469,0.516,4.5,5.3,0.864,0.4,2.7,3.1,5.6,1.1,0.3,2.2,1.2,22.1
2018-19,28.0,CHO,NBA,PG,82.0,82.0,34.9,8.9,20.5,0.434,3.2,8.9,0.356,5.7,11.6,0.494,0.511,4.6,5.5,0.844,0.6,3.8,4.4,5.9,1.2,0.4,2.6,1.6,25.6
2019-20,29.0,BOS,NBA,PG,56.0,56.0,31.1,6.8,15.9,0.425,3.2,8.4,0.381,3.5,7.4,0.476,0.526,3.7,4.3,0.864,0.6,3.2,3.9,4.8,0.9,0.5,2.1,1.6,20.4
2020-21,30.0,BOS,NBA,PG,43.0,43.0,31.8,6.6,15.7,0.42,3.0,8.2,0.36,3.7,7.5,0.486,0.514,3.1,3.5,0.899,0.4,3.6,4.0,4.9,1.1,0.3,2.0,1.4,19.3
2021-22,31.0,NYK,NBA,PG,10.0,10.0,26.5,4.3,10.0,0.43,2.7,6.0,0.45,1.6,4.0,0.4,0.565,0.9,1.2,0.75,0.1,2.9,3.0,3.2,1.2,0.3,1.4,1.1,12.2
Career,,,NBA,,714.0,669.0,33.6,6.8,16.3,0.419,2.3,6.3,0.361,4.6,10.0,0.455,0.488,3.9,4.6,0.84,0.6,3.3,3.8,5.4,1.3,0.4,2.2,1.5,19.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,"CHA,CHO",NBA,,605.0,560.0,34.1,6.9,16.5,0.418,2.1,5.9,0.357,4.8,10.5,0.452,0.482,4.0,4.7,0.835,0.6,3.3,3.8,5.5,1.3,0.4,2.2,1.5,19.8
2 seasons,,BOS,NBA,,99.0,99.0,31.4,6.7,15.8,0.423,3.1,8.3,0.372,3.6,7.5,0.48,0.521,3.5,3.9,0.877,0.5,3.4,3.9,4.8,1.0,0.4,2.1,1.5,19.9
1 season,,NYK,NBA,,10.0,10.0,26.5,4.3,10.0,0.43,2.7,6.0,0.45,1.6,4.0,0.4,0.565,0.9,1.2,0.75,0.1,2.9,3.0,3.2,1.2,0.3,1.4,1.1,12.2
