Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2013-14,20.0,DET,NBA,SG,80.0,1583.0,9.4,0.483,0.402,0.133,2.5,8.6,5.4,5.0,2.4,0.6,5.4,13.9,1.0,0.8,1.8,0.055,-3.0,0.5,-2.6,-0.2
2014-15,21.0,DET,NBA,SG,82.0,2587.0,11.2,0.501,0.457,0.163,1.9,9.1,5.4,6.8,1.9,0.5,8.3,19.5,1.1,1.8,2.8,0.052,-1.3,-0.4,-1.7,0.2
2015-16,22.0,DET,NBA,SG,76.0,2789.0,12.4,0.521,0.384,0.238,2.6,8.6,5.5,7.8,2.0,0.5,9.0,18.2,2.6,2.7,5.3,0.092,-1.1,0.8,-0.3,1.2
2016-17,23.0,DET,NBA,SG,76.0,2529.0,12.8,0.519,0.471,0.199,2.3,8.7,5.3,11.2,1.8,0.4,7.9,19.2,2.0,2.5,4.5,0.086,-0.6,0.4,-0.2,1.1
2017-18,24.0,LAL,NBA,SG,74.0,2458.0,13.2,0.561,0.52,0.243,2.6,14.1,8.4,9.4,2.1,0.5,9.9,16.9,2.6,2.7,5.3,0.103,-0.4,0.6,0.3,1.4
2018-19,25.0,LAL,NBA,SG,82.0,2035.0,12.9,0.568,0.575,0.209,2.5,9.4,6.0,7.5,1.7,0.5,7.3,18.1,2.3,1.8,4.0,0.095,-0.3,-0.1,-0.5,0.8
2019-20,26.0,LAL,NBA,SG,69.0,1762.0,11.0,0.584,0.471,0.201,2.4,6.4,4.4,8.5,1.5,0.7,10.1,14.7,1.9,1.9,3.7,0.102,-1.2,0.4,-0.8,0.5
2020-21,27.0,LAL,NBA,SG,67.0,1902.0,10.7,0.588,0.579,0.221,1.6,8.9,5.3,9.2,1.6,1.2,10.6,14.2,1.6,2.6,4.2,0.107,-1.5,0.6,-0.9,0.6
2021-22,28.0,WAS,NBA,SG,14.0,428.0,10.0,0.507,0.607,0.098,2.1,11.1,6.8,7.3,2.2,1.0,9.3,14.6,0.0,0.6,0.6,0.072,-2.3,0.7,-1.7,0.0
Career,,,NBA,,620.0,18073.0,11.8,0.537,0.481,0.201,2.3,9.4,5.8,8.3,1.9,0.6,8.6,17.1,15.1,17.4,32.5,0.086,-1.1,0.4,-0.8,5.6
,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,DET,NBA,,314.0,9488.0,11.7,0.509,0.432,0.19,2.3,8.8,5.4,8.0,2.0,0.5,8.0,18.1,6.6,7.9,14.5,0.073,-1.3,0.3,-1.0,2.3
4 seasons,,LAL,NBA,,292.0,8157.0,12.1,0.573,0.538,0.22,2.3,10.1,6.2,8.7,1.7,0.7,9.3,16.1,8.4,8.9,17.3,0.102,-0.8,0.4,-0.4,3.3
1 season,,WAS,NBA,,14.0,428.0,10.0,0.507,0.607,0.098,2.1,11.1,6.8,7.3,2.2,1.0,9.3,14.6,0.0,0.6,0.6,0.072,-2.3,0.7,-1.7,0.0
