,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1972-73,22.0,BAL,NBA,PG,71,,17.1,2.9,6.4,.455,,,,2.9,6.4,.455,.455,0.9,1.4,.614,,,1.0,3.3,,,,2.9,6.6
1,1973-74,23.0,CAP,NBA,PG,81,,28.9,5.9,12.3,.478,,,,5.9,12.3,.478,.478,2.2,3.1,.723,1.0,1.2,2.2,5.8,1.2,0.1,,3.9,14.0
2,1974-75,24.0,WSB,NBA,PG,81,,32.0,5.0,10.2,.491,,,,5.0,10.2,.491,.491,1.6,2.3,.704,0.7,1.2,1.9,8.0,1.9,0.1,,4.0,11.6
3,1975-76,25.0,DET,NBA,PG,19,,36.2,5.2,12.4,.421,,,,5.2,12.4,.421,.421,2.2,2.9,.750,0.7,1.6,2.3,10.2,1.8,0.2,,4.4,12.6
4,1976-77,26.0,DET,NBA,PG,81,,26.1,3.8,7.5,.512,,,,3.8,7.5,.512,.512,1.2,1.6,.729,0.3,0.9,1.2,7.3,1.1,0.1,,3.3,8.9
5,1977-78,27.0,TOT,NBA,PG,82,,34.3,6.0,12.9,.469,,,,6.0,12.9,.469,.469,3.0,3.9,.763,0.6,2.0,2.6,10.2,1.5,0.2,4.4,3.5,15.0
6,1977-78,27.0,DET,NBA,PG,8,,15.9,1.8,3.9,.452,,,,1.8,3.9,.452,.452,1.1,1.6,.692,0.6,1.3,1.9,4.5,0.6,0.0,1.5,2.3,4.6
7,1977-78,27.0,NJN,NBA,PG,74,,36.3,6.5,13.8,.470,,,,6.5,13.8,.470,.470,3.2,4.1,.765,0.6,2.0,2.7,10.8,1.6,0.2,4.7,3.6,16.2
8,1978-79,28.0,DET,NBA,PG,82,,37.4,6.5,13.5,.481,,,,6.5,13.5,.481,.481,2.3,3.2,.722,0.8,1.8,2.5,13.4,1.9,0.1,4.1,3.7,15.4
9,1979-80,29.0,WSB,NBA,PG,70,,21.3,2.9,6.3,.459,0.0,0.1,.000,2.9,6.2,.463,.459,1.6,2.0,.803,0.4,0.8,1.2,6.5,0.8,0.2,2.3,2.6,7.3
10,1980-81,30.0,WSB,NBA,PG,81,,31.8,5.5,10.6,.519,0.0,0.1,.250,5.5,10.5,.523,.521,2.4,3.0,.773,0.4,1.1,1.5,9.1,1.4,0.1,3.1,3.2,13.4
11,1981-82,31.0,Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg),Did Not Play (injury—leg)
12,1982-83,32.0,WSB,NBA,PG,11,0,19.1,1.9,3.6,.525,0.0,0.0,,1.9,3.6,.525,.525,0.5,0.5,.833,0.2,0.3,0.5,4.2,0.9,0.0,1.9,2.7,4.3
13,Career,,,NBA,,659,0,29.0,4.8,10.0,.483,0.0,0.1,.188,4.8,10.0,.483,.483,1.9,2.6,.737,0.6,1.3,1.8,8.1,1.4,0.1,3.5,3.4,11.6
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,6 seasons,,"BAL,CAP,WSB",NBA,,395,0,26.4,4.4,9.1,.486,0.0,0.1,.188,4.4,9.1,.487,.487,1.7,2.3,.733,0.6,1.1,1.6,6.6,1.3,0.1,2.7,3.3,10.6
16,4 seasons,,DET,NBA,,190,,31.6,5.0,10.4,.483,,,,5.0,10.4,.483,.483,1.8,2.5,.726,0.6,1.4,1.9,10.1,1.5,0.1,3.9,3.5,11.9
17,1 season,,NJN,NBA,,74,,36.3,6.5,13.8,.470,,,,6.5,13.8,.470,.470,3.2,4.1,.765,0.6,2.0,2.7,10.8,1.6,0.2,4.7,3.6,16.2
