Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2012-13,21.0,DET,NBA,SG,27.0,475.0,11.4,0.532,0.319,0.227,1.0,11.4,6.1,9.5,1.7,0.7,6.6,15.9,0.6,0.3,0.9,0.089,-1.9,-0.1,-1.9,0.0
2013-14,22.0,MIL,NBA,SF,82.0,2460.0,12.5,0.541,0.34,0.16,2.7,12.0,7.2,11.7,1.8,0.7,11.9,19.1,1.9,0.8,2.7,0.053,-1.2,-1.1,-2.3,-0.2
2014-15,23.0,MIL,NBA,SF,79.0,2378.0,15.6,0.563,0.308,0.18,2.3,14.3,8.4,12.7,2.6,0.4,10.8,19.9,3.2,3.5,6.7,0.135,0.5,1.1,1.6,2.2
2015-16,24.0,MIL,NBA,SG,79.0,2852.0,16.8,0.56,0.316,0.273,1.8,10.2,6.0,18.9,2.3,0.6,12.3,23.0,4.3,1.8,6.1,0.103,1.2,-0.5,0.6,1.9
2016-17,25.0,MIL,NBA,SF,29.0,889.0,15.0,0.57,0.312,0.276,1.5,14.5,8.1,17.5,2.3,0.7,14.8,22.5,0.7,0.9,1.6,0.085,-0.4,0.1,-0.3,0.4
2017-18,26.0,MIL,NBA,SF,82.0,2982.0,17.4,0.577,0.32,0.285,1.8,15.0,8.4,17.7,2.0,0.6,11.8,24.6,4.6,2.3,6.9,0.111,0.8,-0.8,0.0,1.5
2018-19,27.0,MIL,NBA,SF,77.0,2393.0,16.5,0.558,0.413,0.225,2.3,16.5,9.8,20.1,1.6,0.2,12.1,25.1,2.5,3.6,6.1,0.123,0.7,0.1,0.8,1.7
2019-20,28.0,MIL,NBA,SF,62.0,1853.0,21.1,0.619,0.374,0.24,2.5,17.0,10.2,22.2,1.3,0.3,11.6,26.4,4.6,3.3,7.9,0.205,3.4,0.7,4.1,2.9
2020-21,29.0,MIL,NBA,SF,68.0,2269.0,18.2,0.588,0.34,0.22,2.6,15.7,9.4,23.2,1.5,0.4,13.1,25.0,4.1,2.2,6.4,0.135,2.0,-0.7,1.3,1.9
2021-22,30.0,MIL,NBA,SF,6.0,189.0,17.5,0.527,0.343,0.265,1.6,13.6,7.6,24.4,3.0,0.5,15.6,30.4,0.0,0.2,0.2,0.058,-0.2,-1.2,-1.4,0.0
Career,,,NBA,,591.0,18740.0,16.5,0.571,0.343,0.233,2.2,14.1,8.3,17.7,1.9,0.5,12.1,23.1,26.6,18.9,45.5,0.116,0.8,-0.2,0.6,12.4
,,,,,,,,,,,,,,,,,,,,,,,,,,
9 seasons,,MIL,NBA,,564.0,18265.0,16.7,0.572,0.343,0.233,2.2,14.2,8.3,17.9,1.9,0.5,12.2,23.2,26.0,18.6,44.6,0.117,0.9,-0.2,0.7,12.4
1 season,,DET,NBA,,27.0,475.0,11.4,0.532,0.319,0.227,1.0,11.4,6.1,9.5,1.7,0.7,6.6,15.9,0.6,0.3,0.9,0.089,-1.9,-0.1,-1.9,0.0
