,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2016-17,22.0,MIN,NBA,PG,78.0,7.0,17.1,1.5,4.0,0.377,0.3,0.9,0.288,1.2,3.1,0.404,0.411,0.5,0.8,0.61,0.3,1.8,2.1,2.4,1.0,0.5,1.1,2.3,3.8
1,2017-18,23.0,CHI,NBA,PG,52.0,43.0,29.3,5.5,12.8,0.429,0.8,2.6,0.321,4.7,10.2,0.457,0.462,1.6,2.2,0.737,0.5,3.8,4.3,6.0,2.0,0.5,2.9,3.3,13.4
2,2018-19,24.0,CHI,NBA,PG,46.0,44.0,30.2,4.7,11.0,0.425,0.7,2.1,0.354,3.9,8.9,0.441,0.458,1.2,1.5,0.797,0.4,3.7,4.1,6.0,1.5,0.5,2.3,3.6,11.3
3,2019-20,25.0,CHI,NBA,PG,51.0,32.0,24.9,3.0,6.7,0.444,0.6,2.2,0.259,2.4,4.5,0.535,0.487,0.8,1.1,0.741,0.5,3.2,3.6,3.4,2.0,0.3,1.3,3.1,7.3
4,2020-21,26.0,ATL,NBA,PG,4.0,0.0,11.3,0.3,3.0,0.083,0.0,0.5,0.0,0.3,2.5,0.1,0.083,0.8,1.0,0.75,0.0,1.5,1.5,0.5,0.5,0.5,0.8,2.5,1.3
5,Career,,,NBA,,231.0,126.0,24.1,3.3,8.0,0.42,0.5,1.8,0.305,2.8,6.2,0.454,0.454,0.9,1.3,0.727,0.4,2.9,3.3,4.1,1.5,0.4,1.8,3.0,8.2
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3 seasons,,CHI,NBA,,149.0,119.0,28.1,4.4,10.2,0.431,0.7,2.3,0.31,3.7,7.9,0.467,0.466,1.2,1.6,0.755,0.4,3.5,4.0,5.1,1.8,0.4,2.2,3.3,10.7
8,1 season,,MIN,NBA,,78.0,7.0,17.1,1.5,4.0,0.377,0.3,0.9,0.288,1.2,3.1,0.404,0.411,0.5,0.8,0.61,0.3,1.8,2.1,2.4,1.0,0.5,1.1,2.3,3.8
9,1 season,,ATL,NBA,,4.0,0.0,11.3,0.3,3.0,0.083,0.0,0.5,0.0,0.3,2.5,0.1,0.083,0.8,1.0,0.75,0.0,1.5,1.5,0.5,0.5,0.5,0.8,2.5,1.3
