,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,2018-19,21.0,TOT,NBA,SG,79.0,1802.0,11.0,0.604,0.711,0.167,1.3,6.4,3.9,9.0,1.0,0.4,7.0,15.0,2.7,0.9,3.6,0.095,-0.3,-1.3,-1.6,0.2
1,2018-19,21.0,PHI,NBA,SG,54.0,1108.0,10.7,0.606,0.706,0.156,1.4,5.9,3.7,7.4,1.0,0.6,6.6,15.0,1.6,0.6,2.2,0.096,-0.7,-1.1,-1.9,0.0
2,2018-19,21.0,LAC,NBA,SG,25.0,694.0,11.3,0.601,0.719,0.186,1.1,7.3,4.3,11.5,0.9,0.2,7.7,15.0,1.1,0.3,1.4,0.094,0.4,-1.6,-1.2,0.1
3,2019-20,22.0,LAC,NBA,SG,53.0,1452.0,8.5,0.58,0.757,0.194,0.4,6.6,3.6,9.1,0.7,0.6,9.0,13.4,1.5,1.1,2.6,0.086,-1.8,-0.3,-2.1,0.0
4,2020-21,23.0,BRK,NBA,SG,61.0,1403.0,10.3,0.578,0.73,0.171,0.9,7.6,4.4,9.3,1.1,0.6,8.9,16.7,1.2,0.6,1.8,0.063,-1.1,-1.5,-2.5,-0.2
5,2021-22,24.0,PHO,NBA,SG,3.0,51.0,10.1,0.731,0.692,0.0,2.0,12.9,7.3,5.6,0.0,0.0,13.3,12.7,0.1,0.0,0.0,0.042,-1.4,-2.9,-4.3,0.0
6,Career,,,NBA,,196.0,4708.0,10.0,0.59,0.73,0.174,0.9,6.9,4.0,9.1,0.9,0.5,8.2,15.0,5.4,2.6,8.1,0.082,-1.0,-1.1,-2.1,-0.1
7,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2 seasons,,LAC,NBA,,78.0,2146.0,9.4,0.587,0.744,0.191,0.7,6.8,3.8,9.8,0.7,0.5,8.6,13.9,2.6,1.4,4.0,0.089,-1.1,-0.7,-1.8,0.1
9,1 season,,BRK,NBA,,61.0,1403.0,10.3,0.578,0.73,0.171,0.9,7.6,4.4,9.3,1.1,0.6,8.9,16.7,1.2,0.6,1.8,0.063,-1.1,-1.5,-2.5,-0.2
10,1 season,,PHI,NBA,,54.0,1108.0,10.7,0.606,0.706,0.156,1.4,5.9,3.7,7.4,1.0,0.6,6.6,15.0,1.6,0.6,2.2,0.096,-0.7,-1.1,-1.9,0.0
11,1 season,,PHO,NBA,,3.0,51.0,10.1,0.731,0.692,0.0,2.0,12.9,7.3,5.6,0.0,0.0,13.3,12.7,0.1,0.0,0.0,0.042,-1.4,-2.9,-4.3,0.0
