Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015-16,23.0,LAL,NBA,PF,63.0,22.0,20.1,2.5,4.8,0.527,0.0,0.2,0.1,2.5,4.6,0.541,0.528,0.5,0.7,0.681,1.6,3.3,5.0,0.7,0.9,0.4,0.7,2.0,5.5
2016-17,24.0,LAL,NBA,PF,63.0,7.0,22.9,3.0,5.7,0.526,0.2,0.6,0.278,2.9,5.2,0.554,0.54,0.9,1.3,0.738,1.9,4.0,5.9,1.5,1.3,0.6,0.9,2.4,7.1
2017-18,25.0,TOT,NBA,C,66.0,27.0,21.5,3.6,6.3,0.581,0.0,0.2,0.167,3.6,6.1,0.594,0.584,1.4,2.1,0.664,2.4,4.4,6.8,1.2,1.3,0.6,0.8,2.6,8.7
2017-18,25.0,LAL,NBA,C,42.0,17.0,22.0,3.6,6.0,0.601,0.0,0.1,0.25,3.6,5.9,0.606,0.603,1.3,2.1,0.632,2.6,4.2,6.8,1.4,1.4,0.5,1.0,2.7,8.6
2017-18,25.0,CLE,NBA,C,24.0,10.0,20.8,3.7,6.7,0.55,0.0,0.3,0.125,3.6,6.3,0.572,0.553,1.5,2.1,0.72,2.2,4.8,7.0,1.0,1.2,0.8,0.4,2.5,8.9
2018-19,26.0,CLE,NBA,C,67.0,30.0,26.8,3.7,7.1,0.52,0.5,1.5,0.337,3.2,5.7,0.567,0.554,1.4,2.0,0.716,2.5,5.7,8.2,3.2,1.5,0.6,1.4,2.9,9.4
2019-20,27.0,CLE,NBA,PF,56.0,10.0,26.3,4.1,7.7,0.531,1.0,2.8,0.352,3.1,4.9,0.636,0.596,0.9,1.3,0.676,1.9,5.4,7.3,2.2,1.0,0.4,1.1,1.6,10.1
2020-21,28.0,CLE,NBA,PF,35.0,27.0,31.2,3.7,7.8,0.471,1.2,3.3,0.36,2.5,4.5,0.551,0.546,0.9,1.4,0.612,1.5,5.2,6.7,3.1,1.7,0.5,1.6,2.1,9.3
2021-22,29.0,POR,NBA,PF,9.0,0.0,18.1,2.0,3.8,0.529,0.4,1.2,0.364,1.6,2.6,0.609,0.588,0.3,0.7,0.5,1.1,4.1,5.2,1.2,0.8,0.4,1.0,1.7,4.8
Career,,,NBA,,359.0,123.0,24.1,3.4,6.4,0.529,0.4,1.2,0.334,3.0,5.2,0.576,0.561,1.0,1.5,0.685,2.0,4.6,6.6,1.9,1.2,0.5,1.0,2.3,8.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,CLE,NBA,,182.0,77.0,26.7,3.8,7.4,0.517,0.7,2.1,0.346,3.1,5.3,0.585,0.566,1.2,1.7,0.691,2.1,5.4,7.5,2.6,1.4,0.5,1.2,2.3,9.5
3 seasons,,LAL,NBA,,168.0,46.0,21.6,3.0,5.4,0.547,0.1,0.3,0.24,2.9,5.1,0.565,0.554,0.9,1.3,0.682,2.0,3.8,5.7,1.2,1.2,0.5,0.8,2.3,6.9
1 season,,POR,NBA,,9.0,0.0,18.1,2.0,3.8,0.529,0.4,1.2,0.364,1.6,2.6,0.609,0.588,0.3,0.7,0.5,1.1,4.1,5.2,1.2,0.8,0.4,1.0,1.7,4.8
