Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017-18,20.0,LAL,NBA,PG,52.0,1780.0,12.5,0.444,0.523,0.126,4.2,17.3,10.8,29.2,2.4,2.0,18.6,17.4,-0.5,2.5,2.0,0.053,-0.7,1.6,1.0,1.3
2018-19,21.0,LAL,NBA,PG,47.0,1423.0,11.7,0.487,0.5,0.105,4.0,14.0,9.1,23.8,2.3,1.1,17.8,16.9,-0.2,1.7,1.6,0.052,-1.6,1.3,-0.3,0.6
2019-20,22.0,NOP,NBA,PG,63.0,2025.0,13.1,0.517,0.575,0.111,3.7,16.4,10.0,29.1,2.0,1.6,21.1,18.5,0.4,2.0,2.4,0.058,0.1,0.6,0.6,1.3
2020-21,23.0,NOP,NBA,PG,55.0,1747.0,15.2,0.551,0.65,0.091,2.1,14.3,8.2,25.4,2.3,1.7,14.5,20.5,1.5,1.7,3.2,0.089,1.4,0.2,1.6,1.6
2021-22,24.0,CHI,NBA,PG,19.0,664.0,13.5,0.553,0.61,0.029,2.6,13.5,8.0,18.4,2.4,2.0,16.5,16.9,0.4,0.9,1.3,0.094,0.5,0.3,0.8,0.5
Career,,,NBA,,236.0,7639.0,13.2,0.508,0.574,0.101,3.4,15.4,9.4,26.4,2.2,1.6,17.9,18.3,1.6,8.9,10.5,0.066,-0.1,0.8,0.8,5.3
,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,NOP,NBA,,118.0,3772.0,14.1,0.534,0.613,0.101,2.9,15.4,9.2,27.4,2.1,1.6,17.9,19.4,1.9,3.8,5.7,0.072,0.7,0.4,1.1,2.9
2 seasons,,LAL,NBA,,99.0,3203.0,12.2,0.463,0.513,0.117,4.1,15.8,10.0,26.8,2.3,1.6,18.2,17.2,-0.7,4.2,3.5,0.053,-1.1,1.5,0.4,1.9
1 season,,CHI,NBA,,19.0,664.0,13.5,0.553,0.61,0.029,2.6,13.5,8.0,18.4,2.4,2.0,16.5,16.9,0.4,0.9,1.3,0.094,0.5,0.3,0.8,0.5
