No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Reggie Jackson,G,6-2,208,"April 16, 1990",it,10,Boston College
,Paul George,F,6-8,220,"May 2, 1990",us,11,Fresno State
,Eric Bledsoe,G,6-1,214,"December 9, 1989",us,11,Kentucky
,Nicolas Batum,F-G,6-8,230,"December 14, 1988",fr,13,
,Luke Kennard,G,6-5,206,"June 24, 1996",us,4,Duke
,Terance Mann,G-F,6-5,215,"October 18, 1996",us,2,Florida State
,George King,G-F,6-6,225,"January 15, 1994",us,1,Colorado
,Keon Johnson,G,6-5,186,"March 10, 2002",us,R,Tennessee
,Kawhi Leonard,F,6-7,225,"June 29, 1991",us,10,San Diego State
,Harry Giles,F-C,6-11,240,"April 22, 1998",us,3,Duke
,Justise Winslow,F,6-6,222,"March 26, 1996",us,6,Duke
,Ivica Zubac,C,7-0,240,"March 18, 1997",ba,5,
,Moses Wright,F,6-9,233,"December 23, 1998",us,R,Georgia Tech
,Brandon Boston Jr.,G-F,6-7,185,"November 28, 2001",us,R,Kentucky
,Marcus Morris,F,6-8,218,"September 2, 1989",us,10,Kansas
,Jason Preston,G,6-4,187,"August 10, 1999",us,R,Ohio University
,Serge Ibaka,F-C,6-10,235,"September 18, 1989",cg,12,
