,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2017-18,22.0,NYK,NBA,PF,20.0,1.0,16.3,2.5,6.3,0.392,1.4,4.0,0.354,1.1,2.3,0.457,0.504,0.4,0.6,0.727,0.6,2.7,3.2,1.3,0.3,0.8,0.6,1.4,6.7
1,2018-19,23.0,NYK,NBA,PF,46.0,18.0,17.0,2.3,6.2,0.378,1.5,4.2,0.363,0.8,2.0,0.411,0.502,0.8,1.0,0.826,0.6,2.3,2.9,1.2,0.6,0.9,0.5,0.9,7.0
2,2019-20,24.0,CHI,NBA,C,36.0,14.0,15.5,2.3,5.2,0.439,0.9,3.0,0.287,1.4,2.2,0.646,0.521,0.6,0.8,0.714,0.6,1.7,2.3,0.9,0.3,0.7,0.4,1.5,6.0
3,2020-21,25.0,TOT,NBA,"C,PF",31.0,2.0,11.2,1.4,3.3,0.436,0.5,1.9,0.254,0.9,1.4,0.69,0.51,0.1,0.2,0.5,0.5,1.7,2.2,0.8,0.1,1.0,0.2,0.6,3.4
4,2020-21,25.0,CHI,NBA,PF,13.0,0.0,7.2,0.7,2.1,0.333,0.5,1.8,0.261,0.2,0.3,0.75,0.444,0.2,0.3,0.5,0.1,1.1,1.2,0.3,0.2,0.5,0.1,0.1,2.0
5,2020-21,25.0,BOS,NBA,C,18.0,2.0,14.1,1.9,4.1,0.473,0.5,2.0,0.25,1.4,2.1,0.684,0.534,0.1,0.1,0.5,0.7,2.2,2.9,1.1,0.1,1.4,0.3,1.1,4.4
6,Career,,,NBA,,133.0,35.0,15.2,2.1,5.2,0.405,1.1,3.3,0.328,1.0,1.9,0.537,0.509,0.5,0.7,0.758,0.6,2.1,2.6,1.0,0.4,0.9,0.4,1.1,5.8
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2 seasons,,NYK,NBA,,66.0,19.0,16.8,2.4,6.2,0.382,1.5,4.1,0.36,0.9,2.1,0.426,0.502,0.7,0.9,0.807,0.6,2.4,3.0,1.2,0.5,0.9,0.6,1.0,6.9
9,2 seasons,,CHI,NBA,,49.0,14.0,13.3,1.9,4.4,0.425,0.8,2.7,0.282,1.1,1.7,0.651,0.512,0.4,0.7,0.688,0.5,1.6,2.0,0.7,0.3,0.7,0.3,1.1,4.9
10,1 season,,BOS,NBA,,18.0,2.0,14.1,1.9,4.1,0.473,0.5,2.0,0.25,1.4,2.1,0.684,0.534,0.1,0.1,0.5,0.7,2.2,2.9,1.1,0.1,1.4,0.3,1.1,4.4
