Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2019-20,25.0,TOR,NBA,SG,41.0,440.0,13.3,0.65,0.66,0.08,2.2,12.2,7.3,7.5,1.1,0.2,9.3,16.6,0.7,0.6,1.2,0.133,1.0,0.1,1.1,0.3
2020-21,26.0,TOT,NBA,SG,45.0,326.0,9.1,0.522,0.63,0.11,2.3,12.2,7.3,8.6,0.6,0.0,9.5,19.5,0.0,0.2,0.2,0.031,-2.9,-2.3,-5.2,-0.3
2020-21,26.0,TOR,NBA,SG,26.0,192.0,8.2,0.545,0.661,0.113,1.7,10.7,6.0,6.7,0.5,0.0,8.4,16.0,0.0,0.1,0.1,0.028,-2.2,-2.5,-4.7,-0.1
2020-21,26.0,UTA,NBA,SG,19.0,134.0,10.5,0.499,0.6,0.108,3.3,14.4,9.1,11.3,0.7,0.0,10.5,24.5,-0.1,0.2,0.1,0.034,-3.9,-2.0,-6.0,-0.1
2021-22,27.0,CHI,NBA,SG,2.0,5.0,-5.8,0.0,0.0,0.0,0.0,21.3,10.7,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,-0.169,-11.9,-5.6,-17.5,0.0
Career,,,NBA,,88.0,771.0,11.4,0.589,0.644,0.094,2.3,12.3,7.3,7.9,0.9,0.1,9.4,17.8,0.6,0.8,1.4,0.088,-0.7,-1.0,-1.7,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,TOR,NBA,,67.0,632.0,11.8,0.619,0.66,0.09,2.0,11.7,6.9,7.2,0.9,0.2,9.1,16.4,0.7,0.6,1.3,0.101,0.0,-0.7,-0.7,0.2
1 season,,UTA,NBA,,19.0,134.0,10.5,0.499,0.6,0.108,3.3,14.4,9.1,11.3,0.7,0.0,10.5,24.5,-0.1,0.2,0.1,0.034,-3.9,-2.0,-6.0,-0.1
1 season,,CHI,NBA,,2.0,5.0,-5.8,0.0,0.0,0.0,0.0,21.3,10.7,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,-0.169,-11.9,-5.6,-17.5,0.0
