,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,2012-13,20.0,POR,NBA,C,69.0,1206.0,12.1,0.596,0.025,0.321,7.6,17.1,12.3,4.3,0.5,2.4,13.4,13.9,1.8,0.7,2.4,0.097,-2.7,-0.6,-3.3,-0.4
1,2013-14,21.0,POR,NBA,C,40.0,355.0,9.4,0.489,0.066,0.231,8.0,25.5,16.8,7.3,1.0,1.0,13.0,14.2,0.2,0.5,0.6,0.086,-4.7,0.8,-4.0,-0.2
2,2014-15,22.0,POR,NBA,C,55.0,847.0,14.8,0.631,0.457,0.131,5.9,25.3,15.8,5.8,0.6,1.2,13.1,15.8,1.6,1.2,2.8,0.158,0.1,0.5,0.6,0.6
3,2015-16,23.0,POR,NBA,PF,61.0,1333.0,11.3,0.561,0.524,0.106,4.1,21.4,12.8,10.6,0.3,1.1,14.5,17.4,1.2,1.0,2.2,0.078,-1.1,-0.6,-1.7,0.1
4,2016-17,24.0,POR,NBA,PF,74.0,1222.0,8.9,0.507,0.563,0.106,2.4,19.1,10.8,8.4,0.5,1.8,8.1,15.5,0.5,0.8,1.4,0.053,-2.6,-0.6,-3.3,-0.4
5,2017-18,25.0,POR,NBA,C,33.0,254.0,17.8,0.676,0.333,0.141,5.2,24.7,15.0,10.6,1.4,0.0,10.8,16.1,0.7,0.3,1.1,0.2,1.0,0.9,2.0,0.3
6,2018-19,26.0,POR,NBA,C,61.0,878.0,15.8,0.675,0.459,0.211,6.1,21.8,14.2,11.8,0.7,0.8,14.0,14.8,2.1,0.9,3.0,0.164,1.5,0.3,1.8,0.8
7,2019-20,27.0,MIA,NBA,C,51.0,1034.0,10.6,0.627,0.547,0.12,3.4,24.0,14.1,7.6,0.7,1.4,13.7,12.2,0.9,1.2,2.1,0.096,-1.3,0.4,-0.9,0.3
8,2020-21,28.0,MIA,NBA,C,3.0,29.0,6.6,0.635,1.0,0.286,0.0,27.1,13.8,9.7,0.0,0.0,20.2,15.4,0.0,0.0,0.0,0.038,-3.5,-0.9,-4.4,0.0
9,Career,,,NBA,,447.0,7158.0,12.0,0.588,0.422,0.161,5.0,21.5,13.3,8.1,0.6,1.4,12.7,15.0,9.0,6.5,15.5,0.104,-1.3,-0.1,-1.4,1.0
10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7 seasons,,POR,NBA,,393.0,6095.0,12.3,0.583,0.403,0.166,5.3,21.1,13.2,8.2,0.6,1.4,12.5,15.5,8.1,5.3,13.4,0.106,-1.3,-0.2,-1.5,0.8
12,2 seasons,,MIA,NBA,,54.0,1063.0,10.5,0.627,0.56,0.124,3.3,24.1,14.1,7.7,0.6,1.4,13.9,12.2,0.9,1.2,2.1,0.094,-1.3,0.3,-1.0,0.3
