No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Sandro Mamukelashvili (TW),F,6-11,240,"May 23, 1999",us,R,Seton Hall
,Bryn Forbes,G,6-2,205,"July 23, 1993",us,5,Michigan State
,Tremont Waters,G,5-10,175,"January 10, 1998",us,2,LSU
,Grayson Allen,G,6-4,198,"October 8, 1995",us,3,Duke
,Semi Ojeleye,F,6-6,240,"December 5, 1994",us,4,"Duke, SMU"
,Bobby Portis,F,6-10,250,"February 10, 1995",us,6,Arkansas
,Donte DiVincenzo,G,6-4,203,"January 31, 1997",us,3,Villanova
,Rodney Hood,G-F,6-8,208,"October 20, 1992",us,7,"Mississippi State, Duke"
,Giannis Antetokounmpo,F-G,6-11,242,"December 6, 1994",gr,8,
,Brook Lopez,C,7-0,282,"April 1, 1988",us,13,Stanford
,George Hill,G,6-4,188,"May 4, 1986",us,13,IUPUI
,Jrue Holiday,G,6-3,205,"June 12, 1990",us,12,UCLA
,Khris Middleton,F-G,6-7,222,"August 12, 1991",us,9,Texas A&M
,Bobby Portis,F,6-10,250,"February 10, 1995",us,6,Arkansas
,Mamadi Diakite,F,6-9,228,"January 21, 1997",gn,1,Virginia
,Pat Connaughton,G,6-5,209,"January 6, 1993",us,6,Notre Dame
,Georgios Kalaitzakis,G-F,6-8,192,"January 2, 1999",gr,R,
,Elijah Bryant,G,6-5,210,"April 19, 1995",us,1,"Elon University, BYU"
,Jordan Nwora,F,6-8,225,"September 9, 1998",us,1,Louisville
,Thanasis Antetokounmpo,F,6-6,219,"July 18, 1992",gr,3,
