No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Nathan Knight (TW),F-C,6-10,253,"September 20, 1997",us,1,William & Mary
,Jaylen Nowell,G,6-4,201,"July 9, 1999",us,2,Washington
,Karl-Anthony Towns,C-F,6-11,248,"November 15, 1995",us,6,Kentucky
,Naz Reid,F,6-9,264,"August 26, 1999",us,2,LSU
,Josh Okogie,G,6-4,213,"September 1, 1998",ng,3,Georgia Tech
,Malik Beasley,G,6-4,187,"November 26, 1996",us,5,Florida State
,D'Angelo Russell,G,6-4,193,"February 23, 1996",us,6,Ohio State
,Jaden McDaniels,F,6-9,185,"September 29, 2000",us,1,Washington
,Jake Layman,F,6-8,209,"March 7, 1994",us,5,Maryland
,Anthony Edwards,G,6-4,225,"August 5, 2001",us,1,Georgia
,Ricky Rubio,G,6-3,190,"October 21, 1990",es,10,
,McKinley Wright IV (TW),G,6-0,196,"October 25, 1998",us,R,Colorado
,Patrick Beverley,G,6-1,180,"July 12, 1988",us,9,Arkansas
