Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015-16,22.0,HOU,NBA,PF,39.0,1.0,9.7,1.5,2.3,0.644,0.0,0.0,0.0,1.5,2.3,0.652,0.644,0.6,1.2,0.522,0.6,1.0,1.7,0.4,0.3,0.3,0.4,1.2,3.6
2016-17,23.0,HOU,NBA,C,58.0,14.0,18.3,3.9,5.9,0.652,0.0,0.1,0.143,3.9,5.8,0.663,0.654,1.3,2.1,0.628,1.4,2.4,3.8,1.1,0.3,0.7,0.8,2.2,9.1
2017-18,24.0,LAC,NBA,C,76.0,3.0,17.0,4.6,7.2,0.635,0.0,0.1,0.143,4.6,7.1,0.641,0.636,1.8,2.9,0.626,1.4,2.7,4.0,1.0,0.5,0.7,0.9,1.9,11.0
2018-19,25.0,LAC,NBA,C,82.0,5.0,26.3,6.7,10.8,0.615,0.0,0.2,0.176,6.6,10.6,0.623,0.617,3.2,5.0,0.643,2.2,4.3,6.5,2.0,0.9,1.3,1.6,3.1,16.6
2019-20,26.0,LAC,NBA,C,63.0,2.0,27.8,7.5,12.9,0.58,0.0,0.3,0.0,7.5,12.6,0.593,0.58,3.7,5.6,0.658,2.6,4.5,7.1,1.7,0.6,1.1,1.7,2.3,18.6
2020-21,27.0,LAL,NBA,C,69.0,1.0,22.9,5.4,8.7,0.622,0.0,0.1,0.0,5.4,8.6,0.632,0.622,2.6,3.7,0.707,2.3,3.9,6.2,1.1,0.7,0.7,1.1,1.9,13.5
2021-22,28.0,WAS,NBA,C,15.0,3.0,28.7,6.4,10.0,0.64,0.1,0.4,0.167,6.3,9.6,0.66,0.643,4.5,5.5,0.819,2.4,6.1,8.5,2.4,0.5,0.9,1.0,2.0,17.4
Career,,,NBA,,402.0,29.0,21.5,5.3,8.5,0.617,0.0,0.2,0.091,5.3,8.4,0.627,0.618,2.5,3.7,0.66,1.9,3.4,5.3,1.3,0.6,0.9,1.1,2.2,13.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,LAC,NBA,,221.0,10.0,23.5,6.2,10.2,0.607,0.0,0.2,0.095,6.2,10.0,0.617,0.608,2.9,4.5,0.644,2.0,3.8,5.8,1.6,0.7,1.1,1.4,2.5,15.2
2 seasons,,HOU,NBA,,97.0,15.0,14.9,2.9,4.5,0.651,0.0,0.1,0.125,2.9,4.4,0.66,0.652,1.0,1.7,0.599,1.1,1.8,2.9,0.8,0.3,0.5,0.6,1.8,6.9
1 season,,LAL,NBA,,69.0,1.0,22.9,5.4,8.7,0.622,0.0,0.1,0.0,5.4,8.6,0.632,0.622,2.6,3.7,0.707,2.3,3.9,6.2,1.1,0.7,0.7,1.1,1.9,13.5
1 season,,WAS,NBA,,15.0,3.0,28.7,6.4,10.0,0.64,0.1,0.4,0.167,6.3,9.6,0.66,0.643,4.5,5.5,0.819,2.4,6.1,8.5,2.4,0.5,0.9,1.0,2.0,17.4
