,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,2018-19,21.0,LAL,NBA,C,43.0,446.0,10.1,0.533,0.45,0.31,4.0,15.4,9.8,7.4,1.1,2.4,16.7,21.7,-0.3,0.5,0.2,0.02,-3.9,-0.4,-4.3,-0.3
1,2019-20,22.0,WAS,NBA,C,45.0,835.0,15.1,0.638,0.301,0.357,7.0,22.2,14.3,9.8,1.6,2.0,17.7,18.6,1.1,0.6,1.7,0.099,-2.0,-0.3,-2.3,-0.1
2,2020-21,23.0,TOT,NBA,C,45.0,722.0,12.5,0.58,0.397,0.38,3.9,17.7,10.7,9.7,1.7,2.2,13.9,18.1,0.5,0.8,1.2,0.082,-2.7,0.0,-2.7,-0.1
3,2020-21,23.0,WAS,NBA,C,25.0,375.0,15.4,0.614,0.344,0.426,3.7,16.9,10.3,11.7,2.7,1.8,12.7,18.3,0.5,0.5,1.0,0.134,-1.1,0.9,-0.2,0.2
4,2020-21,23.0,BOS,NBA,C,9.0,61.0,-1.0,0.37,0.429,0.143,5.4,29.4,17.3,12.4,0.0,1.5,37.7,16.9,-0.2,0.1,-0.2,-0.146,-10.8,-0.7,-11.5,-0.1
5,2020-21,23.0,ORL,NBA,C,11.0,286.0,11.5,0.563,0.462,0.355,3.9,16.1,9.8,6.3,0.7,2.9,10.8,18.2,0.2,0.2,0.4,0.063,-3.0,-1.0,-4.0,-0.1
6,2021-22,24.0,ORL,NBA,C,4.0,54.0,6.4,0.468,0.696,0.261,6.3,20.4,13.8,9.8,0.0,1.7,16.3,24.5,-0.1,0.0,-0.1,-0.081,-5.2,-4.8,-10.0,-0.1
7,Career,,,NBA,,137.0,2057.0,12.9,0.587,0.383,0.35,5.3,19.1,12.1,9.2,1.5,2.1,16.1,19.3,1.2,1.8,3.1,0.071,-2.7,-0.3,-3.0,-0.5
8,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2 seasons,,WAS,NBA,,70.0,1210.0,15.2,0.631,0.314,0.379,6.0,20.6,13.1,10.4,1.9,1.9,16.1,18.5,1.7,1.1,2.8,0.11,-1.7,0.1,-1.6,0.1
10,1 season,,LAL,NBA,,43.0,446.0,10.1,0.533,0.45,0.31,4.0,15.4,9.8,7.4,1.1,2.4,16.7,21.7,-0.3,0.5,0.2,0.02,-3.9,-0.4,-4.3,-0.3
11,2 seasons,,ORL,NBA,,15.0,340.0,10.7,0.544,0.509,0.336,4.2,16.8,10.4,6.9,0.6,2.7,11.9,19.2,0.1,0.2,0.3,0.04,-3.4,-1.6,-5.0,-0.3
12,1 season,,BOS,NBA,,9.0,61.0,-1.0,0.37,0.429,0.143,5.4,29.4,17.3,12.4,0.0,1.5,37.7,16.9,-0.2,0.1,-0.2,-0.146,-10.8,-0.7,-11.5,-0.1
