Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,21.0,LAL,NBA,C,43.0,5.0,10.4,1.7,4.0,0.415,0.5,1.8,0.286,1.1,2.2,0.521,0.48,1.0,1.2,0.811,0.4,1.6,2.0,0.6,0.3,0.3,0.9,1.3,4.8
2019-20,22.0,WAS,NBA,C,45.0,5.0,18.6,3.2,5.9,0.545,0.6,1.8,0.313,2.7,4.1,0.645,0.592,1.7,2.1,0.821,1.2,3.6,4.9,1.2,0.6,0.4,1.5,3.4,8.7
2020-21,23.0,TOT,NBA,C,45.0,24.0,16.0,2.3,5.1,0.454,0.7,2.0,0.341,1.6,3.1,0.529,0.522,1.6,1.9,0.816,0.6,2.6,3.2,1.1,0.6,0.4,1.0,2.4,6.9
2020-21,23.0,WAS,NBA,C,25.0,13.0,15.0,2.5,4.9,0.508,0.5,1.7,0.31,2.0,3.2,0.613,0.561,1.6,2.1,0.788,0.5,2.4,2.9,1.3,0.9,0.3,0.8,2.5,7.1
2020-21,23.0,BOS,NBA,C,9.0,1.0,6.8,0.4,1.6,0.286,0.2,0.7,0.333,0.2,0.9,0.25,0.357,0.1,0.2,0.5,0.3,1.8,2.1,0.7,0.0,0.1,1.0,1.1,1.2
2020-21,23.0,ORL,NBA,C,11.0,10.0,26.0,3.5,8.5,0.409,1.5,3.9,0.372,2.0,4.5,0.44,0.495,2.6,3.0,0.879,1.0,3.9,4.9,1.1,0.4,0.8,1.2,3.3,11.0
2021-22,24.0,ORL,NBA,C,16.0,0.0,9.4,1.5,3.4,0.444,0.8,2.3,0.351,0.7,1.1,0.647,0.565,0.6,1.0,0.563,0.3,2.1,2.4,0.5,0.0,0.2,0.7,1.8,4.4
Career,,,NBA,,149.0,34.0,14.4,2.3,4.8,0.478,0.6,1.9,0.319,1.7,2.9,0.582,0.541,1.3,1.7,0.801,0.7,2.6,3.3,0.9,0.4,0.4,1.1,2.3,6.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,WAS,NBA,,70.0,18.0,17.3,3.0,5.5,0.534,0.5,1.7,0.311,2.4,3.8,0.635,0.582,1.7,2.1,0.81,1.0,3.2,4.2,1.3,0.7,0.4,1.2,3.1,8.2
1 season,,LAL,NBA,,43.0,5.0,10.4,1.7,4.0,0.415,0.5,1.8,0.286,1.1,2.2,0.521,0.48,1.0,1.2,0.811,0.4,1.6,2.0,0.6,0.3,0.3,0.9,1.3,4.8
2 seasons,,ORL,NBA,,27.0,10.0,16.1,2.3,5.4,0.422,1.1,3.0,0.363,1.2,2.5,0.493,0.52,1.4,1.8,0.776,0.6,2.9,3.4,0.7,0.1,0.4,0.9,2.4,7.1
1 season,,BOS,NBA,,9.0,1.0,6.8,0.4,1.6,0.286,0.2,0.7,0.333,0.2,0.9,0.25,0.357,0.1,0.2,0.5,0.3,1.8,2.1,0.7,0.0,0.1,1.0,1.1,1.2
