Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015-16,27.0,MIN,NBA,PF,60.0,0.0,17.9,1.8,3.9,0.468,0.8,2.1,0.384,1.0,1.8,0.564,0.57,0.7,0.9,0.727,0.8,2.7,3.5,1.4,0.4,0.4,0.8,2.6,5.1
2016-17,28.0,MIN,NBA,PF,65.0,1.0,18.3,2.3,5.5,0.424,0.9,2.7,0.316,1.5,2.8,0.531,0.503,0.7,0.9,0.738,0.9,2.9,3.8,1.2,0.6,0.3,0.9,2.4,6.2
2017-18,29.0,MIN,NBA,PF,67.0,21.0,20.5,2.6,5.5,0.461,1.1,2.7,0.415,1.4,2.8,0.505,0.563,0.5,0.7,0.8,0.8,3.3,4.1,1.3,0.7,0.2,0.8,2.1,6.8
2018-19,30.0,SAC,NBA,PF,77.0,70.0,23.2,3.7,7.7,0.479,1.3,3.3,0.401,2.4,4.4,0.539,0.566,0.9,1.2,0.761,1.6,4.1,5.8,1.9,0.7,0.7,1.1,2.6,9.6
2019-20,31.0,SAC,NBA,PF,72.0,67.0,27.9,4.4,9.1,0.481,1.9,4.4,0.419,2.5,4.6,0.541,0.583,1.0,1.2,0.821,1.5,4.8,6.4,2.8,0.9,0.6,1.4,3.0,11.5
2020-21,32.0,TOT,NBA,PF,37.0,3.0,16.1,2.4,5.3,0.454,0.7,2.3,0.318,1.7,3.0,0.559,0.523,1.0,1.4,0.725,0.8,2.6,3.4,1.9,0.4,0.1,0.9,1.8,6.5
2020-21,32.0,SAC,NBA,PF,26.0,1.0,16.9,2.7,5.8,0.46,0.7,2.2,0.293,2.0,3.5,0.565,0.517,1.2,1.6,0.762,0.9,2.9,3.8,1.9,0.3,0.1,1.1,1.8,7.2
2020-21,32.0,MIA,NBA,PF,11.0,2.0,14.2,1.8,4.2,0.435,0.9,2.5,0.37,0.9,1.7,0.526,0.543,0.5,0.8,0.556,0.5,2.0,2.5,1.8,0.6,0.3,0.5,1.8,5.0
2021-22,33.0,GSW,NBA,C,9.0,0.0,15.3,2.8,5.0,0.556,1.1,2.0,0.556,1.7,3.0,0.556,0.667,0.6,0.8,0.714,1.1,3.9,5.0,2.0,0.9,0.3,1.1,1.2,7.2
Career,,,NBA,,387.0,162.0,21.1,3.0,6.3,0.467,1.2,3.0,0.39,1.8,3.3,0.537,0.56,0.8,1.0,0.765,1.1,3.5,4.7,1.8,0.7,0.4,1.0,2.4,7.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIN,NBA,,192.0,22.0,18.9,2.3,5.0,0.449,0.9,2.5,0.371,1.3,2.5,0.528,0.543,0.6,0.8,0.752,0.8,3.0,3.8,1.3,0.6,0.3,0.8,2.3,6.1
3 seasons,,SAC,NBA,,175.0,138.0,24.2,3.8,8.0,0.478,1.5,3.6,0.4,2.4,4.3,0.543,0.569,1.0,1.2,0.784,1.5,4.2,5.7,2.3,0.7,0.6,1.2,2.6,10.1
1 season,,MIA,NBA,,11.0,2.0,14.2,1.8,4.2,0.435,0.9,2.5,0.37,0.9,1.7,0.526,0.543,0.5,0.8,0.556,0.5,2.0,2.5,1.8,0.6,0.3,0.5,1.8,5.0
1 season,,GSW,NBA,,9.0,0.0,15.3,2.8,5.0,0.556,1.1,2.0,0.556,1.7,3.0,0.556,0.667,0.6,0.8,0.714,1.1,3.9,5.0,2.0,0.9,0.3,1.1,1.2,7.2
