No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Trey Murphy III,F,6-9,206,"June 18, 2000",us,R,"Rice University, Virginia"
,Wenyen Gabriel,F,6-9,205,"March 26, 1997",sd,2,Kentucky
,Zion Williamson,F-C,6-7,284,"July 6, 2000",us,2,Duke
,Didi Louzada,G,6-5,188,"February 7, 1999",br,1,
,Brandon Ingram,F,6-8,190,"September 2, 1997",us,5,Duke
,Jaxson Hayes,F,6-11,220,"May 23, 2000",us,2,Texas
,Willy Hernangómez,C,6-11,250,"May 27, 1994",es,5,
,Didi Louzada,G,6-5,188,"February 7, 1999",br,1,
,Nickeil Alexander-Walker,G,6-6,205,"September 2, 1998",ca,2,Virginia Tech
,Herb Jones,F,6-8,210,"October 6, 1998",us,R,Alabama
,Naji Marshall,F,6-7,220,"January 24, 1998",us,1,Xavier
,Tomáš Satoranský,G,6-7,210,"October 30, 1991",cz,5,
,Daulton Hommes (TW),G-F,6-8,215,"July 4, 1996",us,R,"Western Washington, Point Loma Nazarene"
,Devonte' Graham,G,6-1,195,"February 22, 1995",us,3,Kansas
,Jonas Valančiūnas,C,6-11,265,"May 6, 1992",lt,9,
,Jose Alvarado (TW),G,6-0,179,"April 12, 1998",us,R,Georgia Tech
,Garrett Temple,G,6-5,195,"May 8, 1986",us,11,LSU
,Kira Lewis Jr.,G,6-1,170,"April 6, 2001",us,1,Alabama
,Josh Hart,G,6-5,215,"March 6, 1995",us,4,Villanova
