No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Alec Burks,G,6-6,214,"July 20, 1991",us,10,Colorado
,Luca Vildoza,G,6-3,190,"August 11, 1995",ar,R,
,Kevin Knox,F,6-7,215,"August 11, 1999",us,3,Kentucky
,Evan Fournier,G-F,6-7,205,"October 29, 1992",fr,9,
,Miles McBride,G,6-2,200,"September 8, 2000",us,R,West Virginia
,Mitchell Robinson,C,7-0,240,"April 1, 1998",us,3,Western Kentucky
,Dwayne Bacon,G,6-6,221,"August 30, 1995",us,4,Florida State
,Quentin Grimes,G,6-5,205,"May 8, 2000",us,R,"Kansas, Houston"
,RJ Barrett,G-F,6-6,214,"June 14, 2000",ca,2,Duke
,Aamir Simms,F,6-8,245,"February 17, 1999",us,R,Clemson
,Jericho Sims (TW),F,6-10,245,"October 20, 1998",us,R,Texas
,Julius Randle,F-C,6-8,250,"November 29, 1994",us,7,Kentucky
,Taj Gibson,F,6-9,232,"June 24, 1985",us,12,USC
,Nerlens Noel,C-F,6-11,220,"April 10, 1994",us,7,Kentucky
,Obi Toppin,F,6-9,220,"March 4, 1998",us,1,Dayton
,Derrick Rose,G,6-2,200,"October 4, 1988",us,12,Memphis
,Kemba Walker,G,6-0,184,"May 8, 1990",us,10,UConn
,Immanuel Quickley,G,6-3,190,"June 17, 1999",us,1,Kentucky
,M.J. Walker,G,6-5,213,"March 28, 1998",us,R,Florida State
