Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017-18,21.0,OKC,NBA,PG,2.0,3.0,-5.0,0.5,0.0,0.0,0.0,38.3,18.5,0.0,0.0,0.0,33.3,42.9,0.0,0.0,0.0,-0.404,-17.7,-2.7,-20.4,0.0
2018-19,22.0,BOS,NBA,SG,6.0,51.0,16.0,0.434,0.381,0.095,12.5,23.1,17.8,13.7,1.9,0.0,0.0,18.5,0.1,0.1,0.1,0.125,-1.3,-0.6,-2.0,0.0
2019-20,23.0,DEN,NBA,SG,29.0,412.0,11.6,0.495,0.312,0.185,2.7,12.2,7.5,21.6,1.7,1.3,13.7,20.8,0.0,0.4,0.4,0.044,-2.6,-1.3,-3.9,-0.2
2020-21,24.0,DEN,NBA,SG,50.0,1088.0,10.4,0.501,0.42,0.186,3.7,15.3,9.5,11.2,1.4,2.0,10.7,17.2,0.1,1.1,1.1,0.051,-2.2,-0.8,-3.0,-0.3
2021-22,25.0,DEN,NBA,SG,14.0,277.0,11.1,0.494,0.519,0.086,3.9,12.5,8.2,12.4,2.0,1.7,9.7,14.9,0.1,0.4,0.6,0.1,-2.4,0.9,-1.5,0.0
Career,,,NBA,,101.0,1831.0,10.9,0.496,0.403,0.169,3.7,14.4,9.1,13.8,1.6,1.7,11.1,17.8,0.3,1.9,2.2,0.058,-2.3,-0.6,-3.0,-0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,DEN,NBA,,93.0,1777.0,10.8,0.499,0.405,0.172,3.5,14.1,8.8,13.8,1.6,1.8,11.4,17.7,0.3,1.8,2.1,0.057,-2.3,-0.6,-3.0,-0.4
1 season,,BOS,NBA,,6.0,51.0,16.0,0.434,0.381,0.095,12.5,23.1,17.8,13.7,1.9,0.0,0.0,18.5,0.1,0.1,0.1,0.125,-1.3,-0.6,-2.0,0.0
1 season,,OKC,NBA,,2.0,3.0,-5.0,0.5,0.0,0.0,0.0,38.3,18.5,0.0,0.0,0.0,33.3,42.9,0.0,0.0,0.0,-0.404,-17.7,-2.7,-20.4,0.0
