Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,21.0,OKC,NBA,PG,2.0,0.0,1.5,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,1.0
2018-19,22.0,BOS,NBA,SG,6.0,0.0,8.5,1.3,3.5,0.381,0.3,1.3,0.25,1.0,2.2,0.462,0.429,0.2,0.3,0.5,1.0,1.8,2.8,0.8,0.3,0.0,0.0,0.3,3.2
2019-20,23.0,DEN,NBA,SG,29.0,0.0,14.2,2.2,5.4,0.414,0.6,1.7,0.347,1.7,3.7,0.444,0.468,0.7,1.0,0.724,0.3,1.6,1.9,2.2,0.5,0.2,0.9,1.6,5.8
2020-21,24.0,DEN,NBA,SG,50.0,6.0,21.8,3.0,7.1,0.417,0.9,3.0,0.315,2.0,4.1,0.49,0.483,0.8,1.3,0.636,0.7,2.9,3.6,1.8,0.6,0.4,0.9,1.7,7.7
2021-22,25.0,DEN,NBA,SG,13.0,0.0,19.6,2.3,5.6,0.411,1.0,2.9,0.342,1.3,2.7,0.486,0.5,0.4,0.5,0.714,0.7,2.5,3.2,1.8,0.8,0.3,0.6,1.9,6.0
Career,,,NBA,,100.0,6.0,18.1,2.5,6.1,0.414,0.8,2.4,0.324,1.7,3.6,0.475,0.479,0.7,1.0,0.663,0.6,2.4,3.0,1.8,0.6,0.3,0.8,1.6,6.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,DEN,NBA,,92.0,6.0,19.1,2.6,6.4,0.415,0.8,2.6,0.326,1.8,3.8,0.476,0.481,0.7,1.1,0.667,0.6,2.4,3.0,1.9,0.6,0.3,0.9,1.7,6.9
1 season,,BOS,NBA,,6.0,0.0,8.5,1.3,3.5,0.381,0.3,1.3,0.25,1.0,2.2,0.462,0.429,0.2,0.3,0.5,1.0,1.8,2.8,0.8,0.3,0.0,0.0,0.3,3.2
1 season,,OKC,NBA,,2.0,0.0,1.5,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,1.0
