Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,25.0,TOT,NBA,SF,10.0,0.0,8.7,1.0,2.6,0.385,0.4,1.2,0.333,0.6,1.4,0.429,0.462,0.7,0.9,0.778,0.2,1.5,1.7,0.8,0.4,0.1,0.3,0.5,3.1
2019-20,25.0,ATL,NBA,SF,2.0,0.0,8.5,0.0,3.5,0.0,0.0,1.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.5,0.5,0.0,0.0,0.5,0.0
2019-20,25.0,TOR,NBA,SF,8.0,0.0,8.8,1.3,2.4,0.526,0.5,1.1,0.444,0.8,1.3,0.6,0.632,0.9,1.1,0.778,0.3,1.6,1.9,0.6,0.4,0.1,0.4,0.5,3.9
2020-21,26.0,TOR,NBA,SF,27.0,2.0,11.0,1.4,3.0,0.463,1.1,2.4,0.469,0.3,0.7,0.444,0.646,0.2,0.3,0.625,0.1,1.5,1.7,0.6,0.2,0.1,0.3,1.3,4.1
2021-22,27.0,OKC,NBA,SF,1.0,0.0,20.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,5.0,6.0,0.0,0.0,2.0,1.0,1.0,0.0
Career,,,NBA,,38.0,2.0,10.6,1.3,2.9,0.429,0.9,2.1,0.425,0.4,0.8,0.438,0.58,0.3,0.4,0.706,0.2,1.6,1.8,0.7,0.3,0.2,0.3,1.1,3.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,TOR,NBA,,35.0,2.0,10.5,1.4,2.9,0.475,1.0,2.1,0.466,0.4,0.8,0.5,0.644,0.3,0.5,0.706,0.2,1.5,1.7,0.6,0.3,0.1,0.3,1.1,4.1
1 season,,ATL,NBA,,2.0,0.0,8.5,0.0,3.5,0.0,0.0,1.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.5,0.5,0.0,0.0,0.5,0.0
1 season,,OKC,NBA,,1.0,0.0,20.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,5.0,6.0,0.0,0.0,2.0,1.0,1.0,0.0
