No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Aaron Henry (TW),F,6-6,210,"August 30, 1999",us,R,Michigan State
,Isaiah Joe,G,6-4,165,"July 2, 1999",us,1,Arkansas
,Joel Embiid,C,7-0,280,"March 16, 1994",cm,5,Kansas
,Danny Green,G-F,6-6,215,"June 22, 1987",us,12,UNC
,Tyrese Maxey,G,6-2,200,"November 4, 2000",us,1,Kentucky
,Ben Simmons,G-F,6-11,240,"July 20, 1996",au,4,LSU
,Furkan Korkmaz,G,6-7,202,"July 24, 1997",tr,4,
,Paul Reed,F,6-9,210,"June 14, 1999",us,1,DePaul
,Shake Milton,G,6-5,205,"September 26, 1996",us,3,SMU
,Grant Riller (TW),G,6-2,190,"February 8, 1997",us,1,College of Charleston
,Andre Drummond,C,6-10,279,"August 10, 1993",us,9,UConn
,Matisse Thybulle,G,6-5,201,"March 4, 1997",us,2,Washington
,Jaden Springer,G,6-4,204,"September 25, 2002",us,R,Tennessee
,Seth Curry,G,6-2,185,"August 23, 1990",us,7,"Liberty, Duke"
,Georges Niang,F,6-7,230,"June 17, 1993",us,5,Iowa State
,Tobias Harris,F,6-8,226,"July 15, 1992",us,10,Tennessee
